Run,Episode,Total Steps,Episode Reward
1,1,13,13.0
1,2,32,19.0
1,3,50,18.0
1,4,80,30.0
1,5,96,16.0
1,6,111,15.0
1,7,126,15.0
1,8,149,23.0
1,9,173,24.0
1,10,211,38.0
1,11,235,24.0
1,12,264,29.0
1,13,277,13.0
1,14,335,58.0
1,15,348,13.0
1,16,367,19.0
1,17,406,39.0
1,18,458,52.0
1,19,506,48.0
1,20,523,17.0
1,21,554,31.0
1,22,570,16.0
1,23,593,23.0
1,24,613,20.0
1,25,624,11.0
1,26,637,13.0
1,27,652,15.0
1,28,662,10.0
1,29,686,24.0
1,30,720,34.0
1,31,739,19.0
1,32,752,13.0
1,33,764,12.0
1,34,794,30.0
1,35,816,22.0
1,36,831,15.0
1,37,851,20.0
1,38,887,36.0
1,39,902,15.0
1,40,911,9.0
1,41,926,15.0
1,42,936,10.0
1,43,959,23.0
1,44,977,18.0
1,45,986,9.0
1,46,995,9.0
1,47,1019,24.0
1,48,1034,15.0
1,49,1047,13.0
1,50,1060,13.0
1,51,1074,14.0
1,52,1107,33.0
1,53,1124,17.0
1,54,1159,35.0
1,55,1183,24.0
1,56,1194,11.0
1,57,1213,19.0
1,58,1230,17.0
1,59,1243,13.0
1,60,1258,15.0
1,61,1287,29.0
1,62,1314,27.0
1,63,1331,17.0
1,64,1346,15.0
1,65,1359,13.0
1,66,1373,14.0
1,67,1389,16.0
1,68,1400,11.0
1,69,1410,10.0
1,70,1448,38.0
1,71,1462,14.0
1,72,1476,14.0
1,73,1487,11.0
1,74,1513,26.0
1,75,1526,13.0
1,76,1537,11.0
1,77,1556,19.0
1,78,1574,18.0
1,79,1590,16.0
1,80,1607,17.0
1,81,1623,16.0
1,82,1671,48.0
1,83,1686,15.0
1,84,1699,13.0
1,85,1727,28.0
1,86,1743,16.0
1,87,1751,8.0
1,88,1760,9.0
1,89,1772,12.0
1,90,1791,19.0
1,91,1802,11.0
1,92,1819,17.0
1,93,1830,11.0
1,94,1843,13.0
1,95,1853,10.0
1,96,1880,27.0
1,97,1916,36.0
1,98,1978,62.0
1,99,1987,9.0
1,100,1997,10.0
1,101,2015,18.0
1,102,2031,16.0
1,103,2079,48.0
1,104,2094,15.0
1,105,2130,36.0
1,106,2178,48.0
1,107,2202,24.0
1,108,2237,35.0
1,109,2260,23.0
1,110,2273,13.0
1,111,2283,10.0
1,112,2315,32.0
1,113,2324,9.0
1,114,2346,22.0
1,115,2360,14.0
1,116,2401,41.0
1,117,2423,22.0
1,118,2473,50.0
1,119,2490,17.0
1,120,2513,23.0
1,121,2526,13.0
1,122,2557,31.0
1,123,2579,22.0
1,124,2588,9.0
1,125,2608,20.0
1,126,2622,14.0
1,127,2658,36.0
1,128,2675,17.0
1,129,2694,19.0
1,130,2736,42.0
1,131,2755,19.0
1,132,2772,17.0
1,133,2800,28.0
1,134,2821,21.0
1,135,2848,27.0
1,136,2864,16.0
1,137,2888,24.0
