Run,Episode,Total Steps,Episode Reward
1,1,12,12.0
1,2,25,13.0
1,3,41,16.0
1,4,53,12.0
1,5,77,24.0
1,6,88,11.0
1,7,113,25.0
1,8,127,14.0
1,9,155,28.0
1,10,166,11.0
1,11,191,25.0
1,12,201,10.0
1,13,231,30.0
1,14,278,47.0
1,15,292,14.0
1,16,307,15.0
1,17,340,33.0
1,18,363,23.0
1,19,378,15.0
1,20,412,34.0
1,21,423,11.0
1,22,445,22.0
1,23,470,25.0
1,24,484,14.0
1,25,500,16.0
1,26,530,30.0
1,27,541,11.0
1,28,571,30.0
1,29,596,25.0
1,30,634,38.0
1,31,647,13.0
1,32,665,18.0
1,33,677,12.0
1,34,731,54.0
1,35,746,15.0
1,36,759,13.0
1,37,778,19.0
1,38,790,12.0
1,39,818,28.0
1,40,829,11.0
1,41,839,10.0
1,42,876,37.0
1,43,903,27.0
1,44,927,24.0
1,45,951,24.0
1,46,970,19.0
1,47,989,19.0
1,48,1004,15.0
1,49,1019,15.0
1,50,1032,13.0
1,51,1070,38.0
1,52,1085,15.0
1,53,1106,21.0
1,54,1119,13.0
1,55,1132,13.0
1,56,1146,14.0
1,57,1160,14.0
1,58,1176,16.0
1,59,1191,15.0
1,60,1203,12.0
1,61,1221,18.0
1,62,1239,18.0
1,63,1258,19.0
1,64,1274,16.0
1,65,1297,23.0
1,66,1314,17.0
1,67,1339,25.0
1,68,1354,15.0
1,69,1372,18.0
1,70,1405,33.0
1,71,1432,27.0
1,72,1441,9.0
1,73,1465,24.0
1,74,1477,12.0
1,75,1499,22.0
1,76,1523,24.0
1,77,1540,17.0
1,78,1554,14.0
1,79,1570,16.0
1,80,1601,31.0
1,81,1630,29.0
1,82,1649,19.0
1,83,1659,10.0
1,84,1671,12.0
1,85,1683,12.0
1,86,1755,72.0
1,87,1790,35.0
1,88,1810,20.0
1,89,1828,18.0
1,90,1853,25.0
1,91,1867,14.0
1,92,1882,15.0
1,93,1899,17.0
1,94,1912,13.0
1,95,1924,12.0
1,96,1946,22.0
1,97,1959,13.0
1,98,2017,58.0
1,99,2042,25.0
1,100,2078,36.0
1,101,2094,16.0
1,102,2111,17.0
1,103,2140,29.0
1,104,2172,32.0
1,105,2199,27.0
1,106,2244,45.0
1,107,2261,17.0
1,108,2297,36.0
1,109,2322,25.0
1,110,2360,38.0
1,111,2372,12.0
1,112,2394,22.0
1,113,2416,22.0
1,114,2461,45.0
1,115,2478,17.0
1,116,2504,26.0
1,117,2518,14.0
1,118,2529,11.0
1,119,2549,20.0
1,120,2567,18.0
1,121,2597,30.0
1,122,2632,35.0
1,123,2658,26.0
1,124,2673,15.0
1,125,2682,9.0
1,126,2694,12.0
1,127,2734,40.0
1,128,2754,20.0
1,129,2774,20.0
1,130,2793,19.0
1,131,2836,43.0
1,132,2846,10.0
1,133,2860,14.0
1,134,2891,31.0
1,135,2970,79.0
1,136,2997,27.0
1,137,3011,14.0
1,138,3066,55.0
1,139,3084,18.0
1,140,3104,20.0
1,141,3118,14.0
1,142,3132,14.0
1,143,3157,25.0
1,144,3181,24.0
1,145,3225,44.0
1,146,3240,15.0
1,147,3271,31.0
1,148,3298,27.0
1,149,3313,15.0
1,150,3334,21.0
1,151,3349,15.0
1,152,3373,24.0
1,153,3388,15.0
1,154,3405,17.0
1,155,3418,13.0
1,156,3436,18.0
1,157,3469,33.0
1,158,3499,30.0
1,159,3517,18.0
1,160,3529,12.0
1,161,3544,15.0
1,162,3576,32.0
1,163,3672,96.0
1,164,3687,15.0
1,165,3707,20.0
1,166,3722,15.0
1,167,3731,9.0
1,168,3750,19.0
1,169,3769,19.0
1,170,3800,31.0
1,171,3832,32.0
1,172,3841,9.0
1,173,3882,41.0
