Run,Episode,Total Steps,Episode Reward
1,294,25145,500.0
1,295,25645,500.0
1,296,26145,500.0
1,297,26645,500.0
1,298,27145,500.0
1,299,27645,500.0
1,300,28145,500.0
1,301,28645,500.0
1,302,29145,500.0
1,303,29645,500.0
1,304,30145,500.0
1,305,30645,500.0
1,306,31145,500.0
1,307,31645,500.0
1,308,32145,500.0
1,309,32645,500.0
1,310,33145,500.0
1,311,33645,500.0
1,312,34145,500.0
1,313,34645,500.0
1,314,35145,500.0
1,315,35645,500.0
1,316,36145,500.0
1,317,36645,500.0
1,318,37145,500.0
1,319,37645,500.0
1,320,38145,500.0
1,321,38645,500.0
1,322,39145,500.0
1,323,39645,500.0
1,324,40145,500.0
1,325,40645,500.0
1,326,41145,500.0
1,327,41645,500.0
1,328,42145,500.0
1,329,42645,500.0
1,330,43145,500.0
1,331,43645,500.0
1,332,44145,500.0
1,333,44645,500.0
1,334,45145,500.0
1,335,45645,500.0
1,336,46145,500.0
1,337,46645,500.0
1,338,47145,500.0
1,339,47645,500.0
1,340,48145,500.0
1,341,48645,500.0
1,342,49145,500.0
1,343,49645,500.0
1,344,50145,500.0
1,345,50645,500.0
1,346,51145,500.0
1,347,51645,500.0
1,348,52145,500.0
1,349,52645,500.0
1,350,53145,500.0
1,351,53645,500.0
1,352,54145,500.0
1,353,54645,500.0
1,354,55145,500.0
1,355,55645,500.0
1,356,56145,500.0
1,357,56645,500.0
1,358,57145,500.0
1,359,57645,500.0
1,360,58145,500.0
1,361,58645,500.0
1,362,59145,500.0
1,363,59645,500.0
1,364,60145,500.0
1,365,60645,500.0
1,366,61145,500.0
1,367,61645,500.0
1,368,62145,500.0
1,369,62645,500.0
1,370,63145,500.0
1,371,63645,500.0
1,372,64145,500.0
1,373,64645,500.0
1,374,65145,500.0
1,375,65645,500.0
1,376,66145,500.0
1,377,66645,500.0
1,378,67145,500.0
1,379,67645,500.0
1,380,68145,500.0
1,381,68645,500.0
1,382,69145,500.0
1,383,69645,500.0
1,384,70145,500.0
1,385,70645,500.0
1,386,71145,500.0
1,387,71645,500.0
1,388,72145,500.0
1,389,72645,500.0
1,390,73145,500.0
1,391,73645,500.0
1,392,74145,500.0
1,393,74645,500.0
1,394,75145,500.0
1,395,75645,500.0
1,396,76145,500.0
1,397,76645,500.0
1,398,77145,500.0
1,399,77645,500.0
1,400,78145,500.0
1,401,78645,500.0
1,402,79145,500.0
1,403,79645,500.0
1,404,80145,500.0
1,405,80645,500.0
1,406,81145,500.0
1,407,81645,500.0
1,408,82145,500.0
1,409,82645,500.0
1,410,83145,500.0
1,411,83645,500.0
1,412,84145,500.0
1,413,84645,500.0
1,414,85145,500.0
1,415,85645,500.0
1,416,86145,500.0
1,417,86645,500.0
1,418,87145,500.0
1,419,87645,500.0
1,420,88145,500.0
1,421,88645,500.0
1,422,89145,500.0
1,423,89645,500.0
1,424,90145,500.0
1,425,90645,500.0
1,426,91145,500.0
1,427,91645,500.0
1,428,92145,500.0
1,429,92645,500.0
1,430,93145,500.0
1,431,93645,500.0
1,432,94145,500.0
1,433,94645,500.0
1,434,95145,500.0
1,435,95645,500.0
1,436,96145,500.0
1,437,96645,500.0
1,438,97145,500.0
1,439,97645,500.0
1,440,98145,500.0
1,441,98645,500.0
1,442,99145,500.0
1,443,99645,500.0
1,444,100145,500.0
1,445,100645,500.0
1,446,101145,500.0
1,447,101645,500.0
1,448,102145,500.0
1,449,102645,500.0
1,450,103145,500.0
1,451,103645,500.0
1,452,104145,500.0
1,453,104645,500.0
1,454,105145,500.0
1,455,105645,500.0
1,456,106145,500.0
1,457,106645,500.0
1,458,107145,500.0
1,459,107645,500.0
1,460,108145,500.0
1,461,108645,500.0
1,462,109145,500.0
1,463,109645,500.0
1,464,110145,500.0
1,465,110645,500.0
1,466,111145,500.0
1,467,111645,500.0
1,468,112145,500.0
1,469,112645,500.0
1,470,113145,500.0
1,471,113645,500.0
1,472,114145,500.0
1,473,114645,500.0
1,474,115145,500.0
1,475,115645,500.0
1,476,116145,500.0
1,477,116645,500.0
1,478,117145,500.0
1,479,117645,500.0
1,480,118145,500.0
1,481,118645,500.0
1,482,119145,500.0
1,483,119645,500.0
1,484,120145,500.0
1,485,120645,500.0
1,486,121145,500.0
1,487,121645,500.0
1,488,122145,500.0
1,489,122645,500.0
1,490,123145,500.0
1,491,123645,500.0
1,492,124145,500.0
1,493,124645,500.0
1,494,125145,500.0
1,495,125645,500.0
1,496,126145,500.0
1,497,126645,500.0
1,498,127145,500.0
1,499,127645,500.0
1,500,128145,500.0
1,501,128645,500.0
1,502,129145,500.0
1,503,129645,500.0
1,504,130145,500.0
1,505,130645,500.0
1,506,131145,500.0
1,507,131645,500.0
1,508,132145,500.0
1,509,132645,500.0
1,510,133145,500.0
1,511,133645,500.0
1,512,134145,500.0
1,513,134645,500.0
1,514,135145,500.0
1,515,135645,500.0
1,516,136145,500.0
1,517,136645,500.0
1,518,137145,500.0
1,519,137645,500.0
1,520,138145,500.0
1,521,138645,500.0
1,522,139145,500.0
1,523,139645,500.0
1,524,140145,500.0
1,525,140645,500.0
1,526,141145,500.0
1,527,141645,500.0
1,528,142145,500.0
1,529,142645,500.0
1,530,143145,500.0
