Run ID,Total Steps,Episode Reward
1,10,10.0
1,53,43.0
1,64,11.0
1,78,14.0
1,105,27.0
1,136,31.0
1,146,10.0
1,173,27.0
1,211,38.0
1,281,70.0
1,303,22.0
1,333,30.0
1,348,15.0
1,359,11.0
1,388,29.0
1,419,31.0
1,430,11.0
1,446,16.0
1,458,12.0
1,510,52.0
1,526,16.0
1,543,17.0
1,553,10.0
1,567,14.0
1,603,36.0
1,619,16.0
1,637,18.0
1,648,11.0
1,660,12.0
1,679,19.0
1,689,10.0
1,705,16.0
1,723,18.0
1,746,23.0
1,773,27.0
1,790,17.0
1,832,42.0
1,849,17.0
1,891,42.0
1,900,9.0
1,917,17.0
1,936,19.0
1,950,14.0
1,964,14.0
1,975,11.0
1,998,23.0
1,1019,21.0
1,1046,27.0
1,1062,16.0
1,1080,18.0
1,1095,15.0
1,1108,13.0
1,1117,9.0
1,1135,18.0
1,1150,15.0
1,1167,17.0
1,1179,12.0
1,1208,29.0
1,1225,17.0
1,1255,30.0
1,1280,25.0
1,1296,16.0
1,1357,61.0
1,1380,23.0
1,1402,22.0
1,1420,18.0
1,1444,24.0
1,1460,16.0
1,1476,16.0
1,1504,28.0
1,1568,64.0
1,1582,14.0
1,1599,17.0
1,1614,15.0
1,1634,20.0
1,1656,22.0
1,1718,62.0
1,1739,21.0
1,1763,24.0
1,1774,11.0
1,1797,23.0
1,1818,21.0
1,1835,17.0
1,1853,18.0
1,1865,12.0
1,1883,18.0
1,1901,18.0
1,1921,20.0
1,1941,20.0
1,1961,20.0
1,1976,15.0
1,1990,14.0
1,2004,14.0
1,2016,12.0
1,2044,28.0
1,2059,15.0
1,2095,36.0
1,2110,15.0
1,2131,21.0
1,2141,10.0
1,2156,15.0
1,2182,26.0
1,2193,11.0
1,2207,14.0
1,2242,35.0
1,2253,11.0
1,2269,16.0
1,2293,24.0
1,2308,15.0
1,2339,31.0
1,2386,47.0
1,2415,29.0
1,2430,15.0
1,2440,10.0
1,2465,25.0
1,2478,13.0
1,2513,35.0
1,2526,13.0
1,2534,8.0
1,2550,16.0
1,2598,48.0
1,2626,28.0
1,2670,44.0
1,2701,31.0
1,2715,14.0
1,2756,41.0
1,2773,17.0
1,2798,25.0
1,2814,16.0
1,2837,23.0
1,2848,11.0
1,2861,13.0
1,2876,15.0
1,2892,16.0
1,2914,22.0
1,2959,45.0
1,2987,28.0
1,3023,36.0
1,3038,15.0
1,3088,50.0
1,3112,24.0
1,3146,34.0
1,3172,26.0
1,3185,13.0
1,3211,26.0
1,3241,30.0
1,3278,37.0
1,3296,18.0
1,3305,9.0
1,3318,13.0
1,3331,13.0
1,3377,46.0
1,3397,20.0
1,3409,12.0
1,3420,11.0
1,3443,23.0
1,3467,24.0
1,3497,30.0
1,3521,24.0
1,3533,12.0
1,3545,12.0
1,3602,57.0
1,3611,9.0
1,3648,37.0
1,3673,25.0
1,3685,12.0
1,3697,12.0
1,3714,17.0
1,3755,41.0
1,3815,60.0
1,3842,27.0
1,3877,35.0
1,3900,23.0
1,3937,37.0
1,3958,21.0
1,4024,66.0
1,4039,15.0
1,4098,59.0
1,4114,16.0
1,4130,16.0
1,4151,21.0
1,4163,12.0
1,4197,34.0
1,4218,21.0
1,4235,17.0
1,4265,30.0
1,4281,16.0
1,4296,15.0
1,4337,41.0
1,4361,24.0
1,4394,33.0
1,4412,18.0
1,4432,20.0
1,4451,19.0
1,4463,12.0
1,4474,11.0
1,4531,57.0
1,4575,44.0
1,4596,21.0
1,4649,53.0
1,4677,28.0
1,4695,18.0
1,4720,25.0
1,4753,33.0
1,4791,38.0
1,4813,22.0
1,4845,32.0
1,4860,15.0
1,4881,21.0
1,4898,17.0
1,4929,31.0
1,4971,42.0
1,4985,14.0
1,5007,22.0
1,5016,9.0
1,5037,21.0
1,5057,20.0
1,5073,16.0
1,5100,27.0
1,5119,19.0
1,5144,25.0
1,5184,40.0
1,5228,44.0
1,5280,52.0
1,5309,29.0
1,5360,51.0
1,5403,43.0
1,5444,41.0
1,5456,12.0
1,5471,15.0
1,5493,22.0
1,5524,31.0
1,5546,22.0
1,5557,11.0
1,5583,26.0
1,5614,31.0
1,5649,35.0
1,5672,23.0
1,5699,27.0
1,5712,13.0
1,5725,13.0
1,5744,19.0
1,5783,39.0
1,5799,16.0
1,5881,82.0
1,5903,22.0
1,5939,36.0
1,5951,12.0
1,5965,14.0
1,6003,38.0
1,6078,75.0
1,6125,47.0
1,6182,57.0
1,6212,30.0
1,6241,29.0
1,6254,13.0
1,6409,155.0
1,6442,33.0
1,6462,20.0
1,6475,13.0
1,6495,20.0
1,6512,17.0
1,6541,29.0
1,6612,71.0
1,6678,66.0
1,6695,17.0
1,6707,12.0
1,6751,44.0
1,6817,66.0
1,6847,30.0
1,6887,40.0
1,6940,53.0
1,6975,35.0
1,6985,10.0
1,7067,82.0
1,7079,12.0
1,7108,29.0
1,7130,22.0
1,7167,37.0
1,7186,19.0
1,7200,14.0
1,7247,47.0
1,7256,9.0
1,7278,22.0
1,7311,33.0
1,7329,18.0
1,7371,42.0
1,7409,38.0
1,7432,23.0
1,7463,31.0
1,7496,33.0
1,7514,18.0
1,7627,113.0
1,7656,29.0
1,7683,27.0
1,7707,24.0
1,7737,30.0
1,7751,14.0
1,7790,39.0
1,7849,59.0
1,7874,25.0
1,7897,23.0
1,7915,18.0
1,7943,28.0
1,7990,47.0
1,8008,18.0
1,8038,30.0
1,8116,78.0
1,8132,16.0
1,8153,21.0
1,8178,25.0
1,8220,42.0
1,8236,16.0
1,8271,35.0
1,8284,13.0
1,8313,29.0
1,8367,54.0
1,8387,20.0
1,8414,27.0
1,8428,14.0
1,8447,19.0
1,8479,32.0
1,8541,62.0
1,8555,14.0
1,8575,20.0
1,8644,69.0
1,8676,32.0
1,8692,16.0
1,8741,49.0
1,8762,21.0
1,8770,8.0
1,8819,49.0
1,8833,14.0
1,8851,18.0
1,8927,76.0
1,8972,45.0
1,8986,14.0
1,9013,27.0
1,9051,38.0
1,9066,15.0
1,9145,79.0
1,9251,106.0
1,9311,60.0
1,9333,22.0
1,9415,82.0
1,9469,54.0
1,9489,20.0
1,9501,12.0
1,9520,19.0
1,9540,20.0
1,9556,16.0
1,9567,11.0
1,9580,13.0
1,9647,67.0
1,9658,11.0
1,9691,33.0
1,9709,18.0
1,9726,17.0
1,9767,41.0
1,9783,16.0
1,9801,18.0
1,9858,57.0
1,9870,12.0
1,9903,33.0
1,9975,72.0
1,10021,46.0
1,10036,15.0
1,10057,21.0
1,10071,14.0
1,10101,30.0
1,10127,26.0
1,10145,18.0
1,10157,12.0
1,10219,62.0
1,10299,80.0
1,10370,71.0
1,10390,20.0
1,10415,25.0
1,10426,11.0
1,10468,42.0
1,10505,37.0
1,10564,59.0
1,10614,50.0
1,10641,27.0
1,10690,49.0
1,10704,14.0
1,10721,17.0
1,10732,11.0
1,10748,16.0
1,10771,23.0
1,10819,48.0
1,10839,20.0
1,10933,94.0
1,10945,12.0
1,11012,67.0
1,11033,21.0
1,11048,15.0
1,11070,22.0
1,11081,11.0
1,11092,11.0
1,11111,19.0
1,11126,15.0
1,11169,43.0
1,11232,63.0
1,11310,78.0
1,11332,22.0
1,11352,20.0
1,11365,13.0
1,11406,41.0
1,11450,44.0
1,11573,123.0
1,11624,51.0
1,11636,12.0
1,11649,13.0
1,11695,46.0
1,11713,18.0
1,11734,21.0
1,11746,12.0
1,11758,12.0
1,11781,23.0
1,11794,13.0
1,11810,16.0
1,11865,55.0
1,11883,18.0
1,11904,21.0
1,12035,131.0
1,12061,26.0
1,12078,17.0
1,12123,45.0
1,12142,19.0
1,12214,72.0
1,12361,147.0
1,12379,18.0
1,12394,15.0
1,12421,27.0
1,12472,51.0
1,12507,35.0
1,12596,89.0
1,12642,46.0
1,12664,22.0
1,12680,16.0
1,12802,122.0
1,12842,40.0
1,12912,70.0
1,13052,140.0
1,13068,16.0
1,13161,93.0
1,13187,26.0
1,13313,126.0
1,13330,17.0
1,13345,15.0
1,13363,18.0
1,13382,19.0
1,13395,13.0
1,13421,26.0
