Configuration,Episode,Mean Total Reward,Std Dev
DQN with Target Network,726,33.5,15.5
DQN with Target Network,727,18.5,7.5
DQN with Target Network,728,22.5,7.5
DQN with Target Network,729,21.5,9.5
DQN with Target Network,730,19.5,3.5
DQN with Target Network,731,34.0,21.0
DQN with Target Network,732,28.5,10.5
DQN with Target Network,733,21.5,10.5
DQN with Target Network,734,39.5,4.5
DQN with Target Network,735,43.5,22.5
DQN with Target Network,736,53.5,6.5
DQN with Target Network,737,58.5,18.5
DQN with Target Network,738,25.5,5.5
DQN with Target Network,739,34.5,4.5
DQN with Target Network,740,40.0,19.0
DQN with Target Network,741,29.0,2.0
DQN with Target Network,742,37.5,4.5
DQN with Target Network,743,51.5,8.5
DQN with Target Network,744,26.5,2.5
DQN with Target Network,745,29.5,9.5
DQN with Target Network,746,33.0,7.0
DQN with Target Network,747,36.5,14.5
DQN with Target Network,748,29.5,10.5
DQN with Target Network,749,15.0,1.0
DQN with Target Network,750,24.5,12.5
DQN with Target Network,751,28.0,6.0
DQN with Target Network,752,57.0,41.0
DQN with Target Network,753,30.0,13.0
DQN with Target Network,754,26.5,8.5
DQN with Target Network,755,68.5,45.5
DQN with Target Network,756,35.0,21.0
DQN with Target Network,757,51.0,26.0
DQN with Target Network,758,20.0,3.0
DQN with Target Network,759,25.0,11.0
DQN with Target Network,760,15.0,1.0
DQN with Target Network,761,15.5,1.5
DQN with Target Network,762,21.5,4.5
DQN with Target Network,763,20.0,7.0
DQN with Target Network,764,23.0,10.0
DQN with Target Network,765,15.5,3.5
DQN with Target Network,766,17.0,4.0
DQN with Target Network,767,29.0,2.0
DQN with Target Network,768,23.5,9.5
DQN with Target Network,769,27.0,15.0
DQN with Target Network,770,14.0,1.0
DQN with Target Network,771,35.0,22.0
DQN with Target Network,772,28.0,16.0
DQN with Target Network,773,31.5,17.5
DQN with Target Network,774,25.0,10.0
DQN with Target Network,775,38.5,24.5
DQN with Target Network,776,28.5,0.5
DQN with Target Network,777,34.5,16.5
DQN with Target Network,778,33.5,4.5
DQN with Target Network,779,73.0,21.0
DQN with Target Network,780,84.0,47.0
DQN with Target Network,781,79.0,27.0
DQN with Target Network,782,44.5,1.5
DQN with Target Network,783,52.0,18.0
DQN with Target Network,784,73.0,45.0
DQN with Target Network,785,56.0,1.0
DQN with Target Network,786,48.0,29.0
DQN with Target Network,787,33.5,0.5
DQN with Target Network,788,57.5,39.5
DQN with Target Network,789,46.0,33.0
DQN with Target Network,790,53.5,21.5
DQN with Target Network,791,33.0,4.0
DQN with Target Network,792,32.5,9.5
DQN with Target Network,793,68.0,44.0
DQN with Target Network,794,22.5,7.5
DQN with Target Network,795,52.5,19.5
DQN with Target Network,796,38.5,6.5
DQN with Target Network,797,25.5,1.5
DQN with Target Network,798,21.5,0.5
DQN with Target Network,799,23.0,4.0
DQN with Target Network,800,22.0,5.0
DQN with Target Network,801,33.0,5.0
DQN with Target Network,802,25.0,1.0
DQN with Target Network,803,40.0,1.0
DQN with Target Network,804,38.0,11.0
DQN with Target Network,805,50.0,25.0
DQN with Target Network,806,55.0,3.0
DQN with Target Network,807,20.5,1.5
DQN with Target Network,808,54.0,7.0
DQN with Target Network,809,30.5,8.5
DQN with Target Network,810,32.0,10.0
DQN with Target Network,811,55.5,19.5
DQN with Target Network,812,35.0,10.0
DQN with Target Network,813,42.5,15.5
DQN with Target Network,814,32.0,11.0
DQN with Target Network,815,28.5,7.5
DQN with Target Network,816,24.5,2.5
DQN with Target Network,817,26.5,4.5
DQN with Target Network,818,18.0,4.0
DQN with Target Network,819,26.5,3.5
DQN with Target Network,820,67.0,48.0
DQN with Target Network,821,50.0,31.0
DQN with Target Network,822,26.5,14.5
DQN with Target Network,823,18.0,0.0
DQN with Target Network,824,25.0,10.0
DQN with Target Network,825,40.5,17.5
DQN with Target Network,826,39.5,25.5
DQN with Target Network,827,23.0,1.0
DQN with Target Network,828,53.0,38.0
DQN with Target Network,829,32.0,5.0
DQN with Target Network,830,42.0,18.0
DQN with Target Network,831,32.0,8.0
DQN with Target Network,832,39.0,2.0
DQN with Target Network,833,52.5,9.5
DQN with Target Network,834,31.5,15.5
DQN with Target Network,835,43.5,8.5
DQN with Target Network,836,32.5,9.5
DQN with Target Network,837,32.0,10.0
DQN with Target Network,838,57.0,5.0
DQN with Target Network,839,56.0,3.0
DQN with Target Network,840,60.0,7.0
DQN with Target Network,841,39.0,13.0
DQN with Target Network,842,60.5,22.5
DQN with Target Network,843,64.0,8.0
DQN with Target Network,844,28.5,0.5
DQN with Target Network,845,54.5,10.5
DQN with Target Network,846,49.5,6.5
DQN with Target Network,847,36.0,11.0
DQN with Target Network,848,39.0,17.0
DQN with Target Network,849,35.5,19.5
DQN with Target Network,850,28.0,1.0
DQN with Target Network,851,39.0,7.0
DQN with Target Network,852,63.5,26.5
DQN with Target Network,853,36.5,13.5
DQN with Target Network,854,49.5,1.5
DQN with Target Network,855,63.0,10.0
DQN with Target Network,856,84.0,21.0
DQN with Target Network,857,89.5,8.5
DQN with Target Network,858,46.0,8.0
DQN with Target Network,859,43.0,16.0
DQN with Target Network,860,29.5,3.5
DQN with Target Network,861,26.0,7.0
DQN with Target Network,862,38.0,2.0
DQN with Target Network,863,26.5,4.5
DQN with Target Network,864,33.0,4.0
DQN with Target Network,865,31.0,9.0
DQN with Target Network,866,29.0,14.0
DQN with Target Network,867,66.0,41.0
DQN with Target Network,868,30.5,4.5
DQN with Target Network,869,25.0,7.0
DQN with Target Network,870,32.0,3.0
DQN with Target Network,871,37.0,4.0
DQN with Target Network,872,47.0,18.0
DQN with Target Network,873,46.5,12.5
DQN with Target Network,874,92.0,56.0
DQN with Target Network,875,43.5,19.5
DQN with Target Network,876,32.5,5.5
DQN with Target Network,877,21.5,6.5
DQN with Target Network,878,23.5,7.5
DQN with Target Network,879,28.0,6.0
DQN with Target Network,880,40.0,23.0
DQN with Target Network,881,42.5,11.5
DQN with Target Network,882,37.5,3.5
DQN with Target Network,883,39.5,9.5
DQN with Target Network,884,110.0,8.0
DQN with Target Network,885,45.5,12.5
DQN with Target Network,886,30.0,14.0
DQN with Target Network,887,47.5,34.5
DQN with Target Network,888,16.5,6.5
DQN with Target Network,889,18.5,4.5
DQN with Target Network,890,22.5,11.5
DQN with Target Network,891,23.5,9.5
DQN with Target Network,892,35.0,16.0
DQN with Target Network,893,41.0,26.0
DQN with Target Network,894,35.0,3.0
DQN with Target Network,895,47.5,9.5
DQN with Target Network,896,66.0,34.0
DQN with Target Network,897,60.5,8.5
DQN with Target Network,898,27.5,10.5
DQN with Target Network,899,75.5,38.5
DQN with Target Network,900,48.5,14.5
DQN with Target Network,901,44.0,7.0
DQN with Target Network,902,131.0,69.0
DQN with Target Network,903,45.5,0.5
DQN with Target Network,904,35.5,1.5
DQN with Target Network,905,46.0,25.0
DQN with Target Network,906,25.0,6.0
DQN with Target Network,907,65.5,36.5
DQN with Target Network,908,58.5,35.5
DQN with Target Network,909,25.5,4.5
DQN with Target Network,910,36.5,7.5
DQN with Target Network,911,23.5,1.5
DQN with Target Network,912,43.0,20.0
DQN with Target Network,913,41.5,12.5
DQN with Target Network,914,66.5,18.5
DQN with Target Network,915,57.0,28.0
DQN with Target Network,916,58.0,31.0
DQN with Target Network,917,54.0,11.0
DQN with Target Network,918,97.0,56.0
DQN with Target Network,919,57.5,8.5
DQN with Target Network,920,27.5,1.5
DQN with Target Network,921,59.5,3.5
DQN with Target Network,922,81.0,6.0
DQN with Target Network,923,44.5,4.5
DQN with Target Network,924,31.5,4.5
DQN with Target Network,925,59.5,3.5
DQN with Target Network,926,39.0,1.0
DQN with Target Network,927,46.0,23.0
DQN with Target Network,928,77.0,16.0
DQN with Target Network,929,84.0,38.0
DQN with Target Network,930,41.5,4.5
DQN with Target Network,931,49.5,19.5
DQN with Target Network,932,101.0,14.0
DQN with Target Network,933,57.0,27.0
DQN with Target Network,934,46.5,13.5
DQN with Target Network,935,57.0,24.0
DQN with Target Network,936,32.5,1.5
DQN with Target Network,937,23.5,1.5
DQN with Target Network,938,76.5,41.5
DQN with Target Network,939,49.5,7.5
DQN with Target Network,940,58.5,3.5
DQN with Target Network,941,81.0,10.0
DQN with Target Network,942,124.5,75.5
DQN with Target Network,943,68.5,27.5
DQN with Target Network,944,45.5,27.5
DQN with Target Network,945,26.5,5.5
DQN with Target Network,946,31.0,6.0
DQN with Target Network,947,34.5,12.5
DQN with Target Network,948,26.5,6.5
DQN with Target Network,949,57.5,19.5
DQN with Target Network,950,40.0,9.0
DQN with Target Network,951,35.5,5.5
DQN with Target Network,952,85.5,40.5
DQN with Target Network,953,86.0,4.0
DQN with Target Network,954,69.0,7.0
DQN with Target Network,955,45.0,2.0
DQN with Target Network,956,74.5,1.5
DQN with Target Network,957,47.0,4.0
DQN with Target Network,958,70.0,9.0
DQN with Target Network,959,36.5,8.5
DQN with Target Network,960,126.5,8.5
DQN with Target Network,961,63.5,27.5
DQN with Target Network,962,32.0,10.0
DQN with Target Network,963,35.5,2.5
DQN with Target Network,964,56.5,19.5
DQN with Target Network,965,34.5,0.5
DQN with Target Network,966,54.5,32.5
DQN with Target Network,967,31.0,3.0
DQN with Target Network,968,36.0,17.0
DQN with Target Network,969,27.0,3.0
DQN with Target Network,970,69.0,47.0
DQN with Target Network,971,31.5,15.5
DQN with Target Network,972,20.0,7.0
DQN with Target Network,973,16.0,2.0
DQN with Target Network,974,24.5,9.5
DQN with Target Network,975,21.5,9.5
DQN with Target Network,976,32.0,17.0
DQN with Target Network,977,42.5,27.5
DQN with Target Network,978,23.0,8.0
DQN with Target Network,979,37.5,25.5
DQN with Target Network,980,22.5,4.5
DQN with Target Network,981,37.0,21.0
DQN with Target Network,982,43.0,28.0
DQN with Target Network,983,37.5,21.5
DQN with Target Network,984,40.0,19.0
DQN with Target Network,985,37.0,18.0
DQN with Target Network,986,41.0,21.0
DQN with Target Network,987,22.0,6.0
DQN with Target Network,988,51.0,36.0
DQN with Target Network,989,26.0,2.0
DQN with Target Network,990,35.5,6.5
DQN with Target Network,991,27.0,0.0
DQN with Target Network,992,46.5,7.5
DQN with Target Network,993,51.0,24.0
DQN with Target Network,994,76.5,48.5
DQN with Target Network,995,63.0,23.0
DQN with Target Network,996,56.0,17.0
DQN with Target Network,997,99.5,34.5
DQN with Target Network,998,67.5,18.5
DQN with Target Network,999,124.0,41.0
DQN with Target Network,1000,38.0,11.0
DQN with Target Network,1001,149.0,51.0
DQN with Target Network,1002,151.5,48.5
DQN with Target Network,1003,86.0,63.0
DQN with Target Network,1004,76.0,28.0
DQN with Target Network,1005,82.5,52.5
DQN with Target Network,1006,138.5,61.5
DQN with Target Network,1007,151.0,49.0
DQN with Target Network,1008,150.0,29.0
DQN with Target Network,1009,122.5,77.5
DQN with Target Network,1010,121.0,74.0
DQN with Target Network,1011,117.0,83.0
DQN with Target Network,1012,118.0,82.0
DQN with Target Network,1013,103.0,57.0
DQN with Target Network,1014,76.0,2.0
DQN with Target Network,1015,50.0,9.0
DQN with Target Network,1016,60.5,13.5
DQN with Target Network,1017,39.5,13.5
DQN with Target Network,1018,122.0,78.0
DQN with Target Network,1019,178.0,22.0
DQN with Target Network,1020,111.5,88.5
DQN with Target Network,1021,114.5,85.5
DQN with Target Network,1022,115.0,85.0
DQN with Target Network,1023,129.0,71.0
DQN with Target Network,1024,110.5,40.5
DQN with Target Network,1025,152.0,48.0
DQN with Target Network,1026,80.0,4.0
DQN with Target Network,1027,66.5,30.5
DQN with Target Network,1028,78.5,16.5
DQN with Target Network,1029,27.0,7.0
DQN with Target Network,1030,155.5,44.5
DQN with Target Network,1031,118.5,66.5
DQN with Target Network,1032,200.0,0.0
DQN with Target Network,1033,106.5,29.5
DQN with Target Network,1034,119.0,68.0
DQN with Target Network,1035,155.5,44.5
DQN with Target Network,1036,102.5,69.5
DQN with Target Network,1037,92.0,55.0
DQN with Target Network,1038,119.0,65.0
DQN with Target Network,1039,106.0,76.0
DQN with Target Network,1040,108.5,65.5
DQN with Target Network,1041,115.0,4.0
DQN with Target Network,1042,110.0,16.0
DQN with Target Network,1043,155.5,15.5
DQN with Target Network,1044,84.0,49.0
DQN with Target Network,1045,103.5,22.5
DQN with Target Network,1046,133.0,67.0
DQN with Target Network,1047,161.5,38.5
DQN with Target Network,1048,37.0,0.0
DQN with Target Network,1049,136.5,20.5
DQN with Target Network,1050,32.5,0.5
DQN with Target Network,1051,76.5,48.5
DQN with Target Network,1052,35.5,2.5
DQN with Target Network,1053,78.5,53.5
DQN with Target Network,1054,72.0,52.0
DQN with Target Network,1055,68.5,47.5
DQN with Target Network,1056,34.0,9.0
DQN with Target Network,1057,72.5,38.5
DQN with Target Network,1058,121.0,79.0
DQN with Target Network,1059,104.5,89.5
DQN with Target Network,1060,111.0,89.0
DQN with Target Network,1061,94.0,41.0
DQN with Target Network,1062,57.5,34.5
DQN with Target Network,1063,89.0,58.0
DQN with Target Network,1064,124.5,10.5
DQN with Target Network,1065,121.5,78.5
DQN with Target Network,1066,21.0,3.0
DQN with Target Network,1067,84.5,67.5
DQN with Target Network,1068,112.0,88.0
DQN with Target Network,1069,114.5,85.5
DQN with Target Network,1070,40.5,20.5
DQN with Target Network,1071,84.0,65.0
DQN with Target Network,1072,79.5,61.5
DQN with Target Network,1073,109.0,91.0
DQN with Target Network,1074,108.0,92.0
DQN with Target Network,1075,41.0,29.0
DQN with Target Network,1076,99.5,86.5
DQN with Target Network,1077,72.0,59.0
DQN with Target Network,1078,95.0,82.0
DQN with Target Network,1079,29.5,18.5
DQN with Target Network,1080,31.5,16.5
DQN with Target Network,1081,95.0,86.0
DQN with Target Network,1082,88.0,78.0
DQN with Target Network,1083,74.0,58.0
DQN with Target Network,1084,28.5,19.5
DQN with Target Network,1085,15.5,3.5
DQN with Target Network,1086,27.5,17.5
DQN with Target Network,1087,14.5,1.5
DQN with Target Network,1088,20.0,11.0
DQN with Target Network,1089,11.0,1.0
DQN with Target Network,1090,11.0,0.0
DQN with Target Network,1091,10.5,0.5
DQN with Target Network,1092,10.0,0.0
DQN with Target Network,1093,12.0,1.0
DQN with Target Network,1094,15.0,0.0
DQN with Target Network,1095,11.5,1.5
DQN with Target Network,1096,13.0,3.0
DQN with Target Network,1097,11.5,0.5
DQN with Target Network,1098,11.5,1.5
DQN with Target Network,1099,16.5,1.5
DQN with Target Network,1100,9.5,0.5
DQN with Target Network,1101,14.0,2.0
DQN with Target Network,1102,13.0,2.0
DQN with Target Network,1103,13.5,0.5
DQN with Target Network,1104,17.0,1.0
DQN with Target Network,1105,66.5,51.5
DQN with Target Network,1106,27.5,12.5
DQN with Target Network,1107,25.5,9.5
DQN with Target Network,1108,15.5,1.5
DQN with Target Network,1109,18.0,2.0
DQN with Target Network,1110,14.0,2.0
DQN with Target Network,1111,13.5,3.5
DQN with Target Network,1112,15.0,2.0
DQN with Target Network,1113,17.0,5.0
DQN with Target Network,1114,16.0,2.0
DQN with Target Network,1115,15.5,4.5
DQN with Target Network,1116,15.5,2.5
DQN with Target Network,1117,18.5,3.5
DQN with Target Network,1118,15.0,2.0
DQN with Target Network,1119,15.5,2.5
DQN with Target Network,1120,14.0,0.0
DQN with Target Network,1121,17.0,3.0
DQN with Target Network,1122,17.0,0.0
DQN with Target Network,1123,21.0,4.0
DQN with Target Network,1124,20.5,5.5
DQN with Target Network,1125,21.5,5.5
DQN with Target Network,1126,85.5,70.5
DQN with Target Network,1127,75.5,55.5
DQN with Target Network,1128,83.5,62.5
DQN with Target Network,1129,31.0,7.0
DQN with Target Network,1130,23.5,1.5
DQN with Target Network,1131,18.0,0.0
DQN with Target Network,1132,23.0,5.0
DQN with Target Network,1133,22.5,2.5
DQN with Target Network,1134,14.5,2.5
DQN with Target Network,1135,62.0,41.0
DQN with Target Network,1136,22.0,6.0
DQN with Target Network,1137,26.0,8.0
DQN with Target Network,1138,34.5,4.5
DQN with Target Network,1139,23.5,4.5
DQN with Target Network,1140,23.0,4.0
DQN with Target Network,1141,61.0,31.0
DQN with Target Network,1142,66.5,12.5
DQN with Target Network,1143,31.0,7.0
DQN with Target Network,1144,69.0,42.0
DQN with Target Network,1145,68.5,45.5
DQN with Target Network,1146,67.0,45.0
DQN with Target Network,1147,67.5,42.5
DQN with Target Network,1148,78.0,52.0
DQN with Target Network,1149,74.0,60.0
DQN with Target Network,1150,70.5,47.5
DQN with Target Network,1151,73.5,60.5
DQN with Target Network,1152,63.5,49.5
DQN with Target Network,1153,37.0,24.0
DQN with Target Network,1154,60.0,45.0
DQN with Target Network,1155,51.5,39.5
DQN with Target Network,1156,58.5,48.5
DQN with Target Network,1157,65.0,51.0
DQN with Target Network,1158,67.0,49.0
DQN with Target Network,1159,61.0,48.0
DQN with Target Network,1160,56.0,44.0
DQN with Target Network,1161,69.0,50.0
DQN with Target Network,1162,20.0,0.0
DQN with Target Network,1163,33.5,17.5
DQN with Target Network,1164,59.5,45.5
DQN with Target Network,1165,61.0,43.0
DQN with Target Network,1166,66.0,51.0
DQN with Target Network,1167,82.5,63.5
DQN with Target Network,1168,98.0,83.0
DQN with Target Network,1169,80.5,59.5
DQN with Target Network,1170,67.5,46.5
DQN with Target Network,1171,62.5,41.5
DQN with Target Network,1172,87.0,66.0
DQN with Target Network,1173,64.0,47.0
DQN with Target Network,1174,97.0,74.0
DQN with Target Network,1175,57.0,37.0
DQN with Target Network,1176,63.5,45.5
DQN with Target Network,1177,49.0,33.0
DQN with Target Network,1178,59.5,45.5
DQN with Target Network,1179,78.0,55.0
DQN with Target Network,1180,111.5,88.5
DQN with Target Network,1181,16.5,0.5
DQN with Target Network,1182,76.0,61.0
DQN with Target Network,1183,98.0,85.0
DQN with Target Network,1184,106.0,94.0
DQN with Target Network,1185,73.0,55.0
DQN with Target Network,1186,59.0,40.0
DQN with Target Network,1187,109.5,90.5
DQN with Target Network,1188,109.5,90.5
DQN with Target Network,1189,103.0,87.0
DQN with Target Network,1190,90.5,73.5
DQN with Target Network,1191,105.0,95.0
DQN with Target Network,1192,107.0,93.0
DQN with Target Network,1193,109.0,91.0
DQN with Target Network,1194,108.5,91.5
DQN with Target Network,1195,87.5,65.5
DQN with Target Network,1196,89.0,70.0
DQN with Target Network,1197,17.5,4.5
DQN with Target Network,1198,25.5,1.5
DQN with Target Network,1199,18.0,2.0
DQN with Target Network,1200,22.0,9.0
DQN with Target Network,1201,21.5,6.5
DQN with Target Network,1202,24.5,8.5
DQN with Target Network,1203,54.0,42.0
DQN with Target Network,1204,71.0,54.0
DQN with Target Network,1205,75.0,56.0
DQN with Target Network,1206,25.5,10.5
DQN with Target Network,1207,85.5,70.5
DQN with Target Network,1208,107.0,93.0
DQN with Target Network,1209,109.0,91.0
DQN with Target Network,1210,109.5,90.5
DQN with Target Network,1211,107.0,93.0
DQN with Target Network,1212,107.0,93.0
DQN with Target Network,1213,107.5,92.5
DQN with Target Network,1214,97.5,84.5
DQN with Target Network,1215,108.0,92.0
DQN with Target Network,1216,106.5,93.5
DQN with Target Network,1217,107.0,93.0
DQN with Target Network,1218,109.5,90.5
DQN with Target Network,1219,105.5,94.5
DQN with Target Network,1220,110.0,90.0
DQN with Target Network,1221,110.0,90.0
DQN with Target Network,1222,180.5,19.5
DQN with Target Network,1223,159.0,14.0
DQN with Target Network,1224,34.5,10.5
DQN with Target Network,1225,125.5,6.5
DQN with Target Network,1226,166.5,33.5
DQN with Target Network,1227,155.5,44.5
DQN with Target Network,1228,179.0,21.0
DQN with Target Network,1229,184.0,16.0
DQN with Target Network,1230,188.0,12.0
DQN with Target Network,1231,161.5,38.5
DQN with Target Network,1232,167.5,32.5
DQN with Target Network,1233,175.5,24.5
DQN with Target Network,1234,108.0,92.0
DQN with Target Network,1235,174.5,25.5
DQN with Target Network,1236,147.0,7.0
DQN with Target Network,1237,80.5,53.5
DQN with Target Network,1238,82.0,50.0
DQN with Target Network,1239,106.5,10.5
DQN with Target Network,1240,117.0,1.0
DQN with Target Network,1241,170.5,14.5
DQN with Target Network,1242,170.5,29.5
DQN with Target Network,1243,147.0,51.0
DQN with Target Network,1244,165.0,11.0
DQN with Target Network,1245,111.0,82.0
DQN with Target Network,1246,192.5,7.5
DQN with Target Network,1247,194.5,2.5
DQN with Target Network,1248,171.0,29.0
DQN with Target Network,1249,135.0,18.0
DQN with Target Network,1250,175.5,24.5
DQN with Target Network,1251,125.0,61.0
DQN with Target Network,1252,161.0,39.0
DQN with Target Network,1253,162.5,37.5
DQN with Target Network,1254,200.0,0.0
DQN with Target Network,1255,200.0,0.0
DQN with Target Network,1256,178.0,22.0
DQN with Target Network,1257,200.0,0.0
DQN with Target Network,1258,178.5,21.5
DQN with Target Network,1259,177.5,22.5
DQN with Target Network,1260,164.0,36.0
DQN with Target Network,1261,200.0,0.0
DQN with Target Network,1262,200.0,0.0
DQN with Target Network,1263,196.5,3.5
DQN with Target Network,1264,200.0,0.0
DQN with Target Network,1265,199.0,1.0
DQN with Target Network,1266,187.5,12.5
DQN with Target Network,1267,179.5,20.5
DQN with Target Network,1268,198.0,2.0
DQN with Target Network,1269,183.0,17.0
DQN with Target Network,1270,115.5,84.5
DQN with Target Network,1271,165.0,35.0
DQN with Target Network,1272,176.5,23.5
DQN with Target Network,1273,190.5,9.5
DQN with Target Network,1274,171.0,29.0
DQN with Target Network,1275,184.5,15.5
DQN with Target Network,1276,126.5,73.5
DQN with Target Network,1277,163.0,37.0
DQN with Target Network,1278,167.0,33.0
DQN with Target Network,1279,185.5,14.5
DQN with Target Network,1280,179.5,20.5
DQN with Target Network,1281,200.0,0.0
DQN with Target Network,1282,189.5,10.5
DQN with Target Network,1283,200.0,0.0
DQN with Target Network,1284,200.0,0.0
DQN with Target Network,1285,200.0,0.0
DQN with Target Network,1286,200.0,0.0
DQN with Target Network,1287,200.0,0.0
DQN with Target Network,1288,45.5,24.5
DQN with Target Network,1289,190.5,9.5
DQN with Target Network,1290,171.0,29.0
DQN with Target Network,1291,85.5,70.5
DQN with Target Network,1292,91.5,78.5
DQN with Target Network,1293,68.5,55.5
DQN with Target Network,1294,64.0,53.0
DQN with Target Network,1295,82.5,70.5
DQN with Target Network,1296,99.0,89.0
DQN with Target Network,1297,62.0,52.0
DQN with Target Network,1298,77.5,60.5
DQN with Target Network,1299,102.0,90.0
DQN with Target Network,1300,66.0,57.0
DQN with Target Network,1301,71.0,61.0
DQN with Target Network,1302,67.0,56.0
DQN with Target Network,1303,69.5,58.5
DQN with Target Network,1304,90.5,80.5
DQN with Target Network,1305,20.0,9.0
DQN with Target Network,1306,21.0,3.0
DQN with Target Network,1307,12.5,2.5
DQN with Target Network,1308,47.0,37.0
DQN with Target Network,1309,34.0,23.0
DQN with Target Network,1310,18.0,8.0
DQN with Target Network,1311,16.5,4.5
DQN with Target Network,1312,17.0,5.0
DQN with Target Network,1313,40.0,29.0
DQN with Target Network,1314,22.0,12.0
DQN with Target Network,1315,95.5,78.5
DQN with Target Network,1316,72.5,61.5
DQN with Target Network,1317,72.0,63.0
DQN with Target Network,1318,47.0,38.0
DQN with Target Network,1319,55.5,44.5
DQN with Target Network,1320,57.0,49.0
DQN with Target Network,1321,65.5,49.5
DQN with Target Network,1322,54.5,35.5
DQN with Target Network,1323,105.0,94.0
DQN with Target Network,1324,61.5,50.5
DQN with Target Network,1325,59.5,49.5
DQN with Target Network,1326,80.0,69.0
DQN with Target Network,1327,72.5,61.5
DQN with Target Network,1328,106.0,94.0
DQN with Target Network,1329,79.5,68.5
DQN with Target Network,1330,80.0,66.0
DQN with Target Network,1331,57.0,46.0
DQN with Target Network,1332,52.0,41.0
DQN with Target Network,1333,54.5,41.5
DQN with Target Network,1334,30.0,16.0
DQN with Target Network,1335,41.5,26.5
DQN with Target Network,1336,36.0,23.0
DQN with Target Network,1337,43.5,28.5
DQN with Target Network,1338,40.5,28.5
DQN with Target Network,1339,19.5,3.5
DQN with Target Network,1340,30.0,14.0
DQN with Target Network,1341,24.0,10.0
DQN with Target Network,1342,88.5,37.5
DQN with Target Network,1343,86.5,5.5
DQN with Target Network,1344,107.5,92.5
DQN with Target Network,1345,14.0,4.0
DQN with Target Network,1346,33.0,22.0
DQN with Target Network,1347,29.5,19.5
DQN with Target Network,1348,17.5,7.5
DQN with Target Network,1349,20.0,11.0
DQN with Target Network,1350,14.5,4.5
DQN with Target Network,1351,11.5,0.5
DQN with Target Network,1352,11.0,3.0
DQN with Target Network,1353,14.5,0.5
DQN with Target Network,1354,14.0,1.0
DQN with Target Network,1355,18.0,2.0
DQN with Target Network,1356,35.5,25.5
DQN with Target Network,1357,16.0,7.0
DQN with Target Network,1358,15.5,6.5
DQN with Target Network,1359,18.5,7.5
DQN with Target Network,1360,16.0,6.0
DQN with Target Network,1361,42.0,29.0
DQN with Target Network,1362,49.0,38.0
DQN with Target Network,1363,52.5,41.5
DQN with Target Network,1364,40.5,30.5
DQN with Target Network,1365,52.0,41.0
DQN with Target Network,1366,50.5,37.5
DQN with Target Network,1367,60.0,49.0
DQN with Target Network,1368,54.5,46.5
DQN with Target Network,1369,38.5,29.5
DQN with Target Network,1370,37.0,27.0
DQN with Target Network,1371,34.0,22.0
DQN with Target Network,1372,38.0,23.0
DQN with Target Network,1373,30.0,16.0
DQN with Target Network,1374,57.5,48.5
DQN with Target Network,1375,81.0,70.0
DQN with Target Network,1376,105.0,95.0
DQN with Target Network,1377,38.0,18.0
DQN with Target Network,1378,48.0,38.0
DQN with Target Network,1379,57.5,47.5
DQN with Target Network,1380,102.5,91.5
DQN with Target Network,1381,27.5,15.5
DQN with Target Network,1382,33.5,19.5
DQN with Target Network,1383,21.5,12.5
DQN with Target Network,1384,14.0,2.0
DQN with Target Network,1385,18.0,2.0
DQN with Target Network,1386,14.5,5.5
DQN with Target Network,1387,13.5,1.5
DQN with Target Network,1388,13.0,4.0
DQN with Target Network,1389,11.5,0.5
DQN with Target Network,1390,12.5,1.5
DQN with Target Network,1391,14.0,4.0
DQN with Target Network,1392,14.0,3.0
DQN with Target Network,1393,13.0,3.0
DQN with Target Network,1394,13.5,3.5
DQN with Target Network,1395,12.5,2.5
DQN with Target Network,1396,13.5,0.5
DQN with Target Network,1397,13.5,1.5
DQN with Target Network,1398,12.5,0.5
DQN with Target Network,1399,14.0,2.0
DQN with Target Network,1400,14.0,1.0
DQN with Target Network,1401,20.0,10.0
DQN with Target Network,1402,31.5,20.5
DQN with Target Network,1403,38.5,28.5
DQN with Target Network,1404,37.5,27.5
DQN with Target Network,1405,52.0,40.0
DQN with Target Network,1406,82.5,69.5
DQN with Target Network,1407,61.5,49.5
DQN with Target Network,1408,47.0,39.0
DQN with Target Network,1409,48.5,36.5
DQN with Target Network,1410,37.0,27.0
DQN with Target Network,1411,32.5,23.5
DQN with Target Network,1412,71.5,63.5
DQN with Target Network,1413,54.0,45.0
DQN with Target Network,1414,65.0,54.0
DQN with Target Network,1415,66.5,49.5
DQN with Target Network,1416,76.0,55.0
DQN with Target Network,1417,54.5,44.5
DQN with Target Network,1418,105.0,95.0
DQN with Target Network,1419,77.5,63.5
DQN with Target Network,1420,66.5,55.5
DQN with Target Network,1421,83.0,74.0
DQN with Target Network,1422,100.5,89.5
DQN with Target Network,1423,106.0,94.0
DQN with Target Network,1424,72.0,62.0
DQN with Target Network,1425,59.5,50.5
DQN with Target Network,1426,56.5,44.5
DQN with Target Network,1427,106.0,94.0
DQN with Target Network,1428,105.5,94.5
DQN with Target Network,1429,64.0,50.0
DQN with Target Network,1430,58.5,42.5
DQN with Target Network,1431,50.5,38.5
DQN with Target Network,1432,42.5,33.5
DQN with Target Network,1433,105.0,95.0
DQN with Target Network,1434,88.5,74.5
DQN with Target Network,1435,105.0,95.0
DQN with Target Network,1436,105.0,95.0
DQN with Target Network,1437,105.5,94.5
