Total Steps,Episode Reward
10713.0,17.0
10850.0,137.0
10901.0,51.0
10943.0,42.0
10966.0,23.0
10996.0,30.0
11116.0,120.0
11142.0,26.0
11170.0,28.0
11206.0,36.0
11222.0,16.0
11351.0,129.0
11411.0,60.0
11454.0,43.0
11566.0,112.0
11687.0,121.0
11700.0,13.0
11714.0,14.0
11796.0,82.0
11831.0,35.0
11948.0,117.0
12040.0,92.0
12053.0,13.0
12075.0,22.0
12135.0,60.0
12178.0,43.0
12267.0,89.0
12286.0,19.0
12314.0,28.0
12514.0,200.0
12542.0,28.0
12632.0,90.0
12705.0,73.0
12814.0,109.0
12886.0,72.0
12913.0,27.0
13052.0,139.0
13080.0,28.0
13142.0,62.0
13188.0,46.0
13211.0,23.0
13236.0,25.0
13281.0,45.0
13407.0,126.0
13486.0,79.0
13500.0,14.0
13521.0,21.0
13556.0,35.0
13617.0,61.0
13675.0,58.0
13741.0,66.0
13788.0,47.0
13886.0,98.0
13944.0,58.0
14036.0,92.0
14090.0,54.0
14120.0,30.0
14148.0,28.0
14183.0,35.0
14198.0,15.0
14210.0,12.0
14231.0,21.0
14260.0,29.0
14365.0,105.0
14411.0,46.0
14425.0,14.0
14528.0,103.0
14537.0,9.0
14561.0,24.0
14574.0,13.0
14610.0,36.0
14626.0,16.0
14647.0,21.0
14688.0,41.0
14878.0,190.0
14934.0,56.0
14961.0,27.0
15101.0,140.0
15191.0,90.0
15263.0,72.0
15277.0,14.0
15401.0,124.0
15414.0,13.0
15443.0,29.0
15458.0,15.0
15517.0,59.0
15581.0,64.0
15603.0,22.0
15803.0,200.0
15825.0,22.0
15880.0,55.0
15976.0,96.0
16028.0,52.0
16075.0,47.0
16180.0,105.0
16291.0,111.0
16331.0,40.0
16396.0,65.0
16534.0,138.0
16567.0,33.0
16589.0,22.0
16648.0,59.0
16747.0,99.0
16863.0,116.0
16935.0,72.0
17076.0,141.0
17110.0,34.0
17156.0,46.0
17299.0,143.0
17424.0,125.0
17458.0,34.0
17504.0,46.0
17520.0,16.0
17545.0,25.0
17564.0,19.0
17664.0,100.0
17810.0,146.0
17839.0,29.0
17868.0,29.0
17949.0,81.0
18013.0,64.0
18165.0,152.0
18333.0,168.0
18348.0,15.0
18460.0,112.0
18498.0,38.0
18698.0,200.0
18737.0,39.0
18773.0,36.0
18899.0,126.0
18916.0,17.0
19082.0,166.0
19170.0,88.0
19258.0,88.0
19299.0,41.0
19387.0,88.0
19402.0,15.0
19480.0,78.0
19525.0,45.0
19593.0,68.0
19689.0,96.0
19853.0,164.0
20020.0,167.0
20112.0,92.0
20225.0,113.0
20257.0,32.0
20322.0,65.0
20335.0,13.0
20505.0,170.0
20601.0,96.0
20633.0,32.0
20683.0,50.0
20698.0,15.0
20715.0,17.0
20730.0,15.0
20843.0,113.0
20923.0,80.0
21123.0,200.0
21211.0,88.0
21227.0,16.0
21250.0,23.0
21372.0,122.0
21495.0,123.0
21556.0,61.0
21589.0,33.0
21615.0,26.0
21779.0,164.0
21853.0,74.0
21891.0,38.0
21951.0,60.0
22151.0,200.0
22177.0,26.0
22265.0,88.0
22349.0,84.0
22375.0,26.0
22412.0,37.0
22544.0,132.0
22572.0,28.0
22738.0,166.0
22770.0,32.0
22885.0,115.0
22907.0,22.0
22972.0,65.0
23025.0,53.0
23077.0,52.0
23213.0,136.0
23235.0,22.0
23265.0,30.0
23309.0,44.0
23387.0,78.0
23485.0,98.0
23685.0,200.0
23747.0,62.0
23871.0,124.0
23981.0,110.0
24006.0,25.0
24066.0,60.0
24206.0,140.0
24301.0,95.0
24341.0,40.0
24371.0,30.0
24571.0,200.0
24748.0,177.0
24849.0,101.0
24897.0,48.0
24977.0,80.0
25041.0,64.0
25122.0,81.0
25232.0,110.0
25368.0,136.0
25470.0,102.0
25620.0,150.0
25695.0,75.0
25809.0,114.0
25954.0,145.0
26041.0,87.0
26080.0,39.0
26280.0,200.0
26480.0,200.0
26567.0,87.0
26750.0,183.0
26917.0,167.0
26998.0,81.0
27100.0,102.0
27204.0,104.0
27391.0,187.0
27506.0,115.0
27676.0,170.0
27698.0,22.0
27709.0,11.0
27852.0,143.0
27931.0,79.0
28103.0,172.0
28273.0,170.0
28342.0,69.0
28355.0,13.0
28555.0,200.0
28755.0,200.0
28777.0,22.0
28963.0,186.0
28989.0,26.0
29144.0,155.0
29236.0,92.0
29389.0,153.0
29561.0,172.0
29761.0,200.0
