Network Size,Total Steps,Average Reward
Small (32-1),20275,12.0
Small (32-1),20286,11.0
Small (32-1),20298,12.0
Small (32-1),20308,10.0
Small (32-1),20317,9.0
Small (32-1),20332,15.0
Small (32-1),20342,10.0
Small (32-1),20354,12.0
Small (32-1),20365,11.0
Small (32-1),20377,12.0
Small (32-1),20389,12.0
Small (32-1),20397,8.0
Small (32-1),20408,11.0
Small (32-1),20420,12.0
Small (32-1),20436,16.0
Small (32-1),20446,10.0
Small (32-1),20455,9.0
Small (32-1),20465,10.0
Small (32-1),20478,13.0
Small (32-1),20492,14.0
Small (32-1),20503,11.0
Small (32-1),20514,11.0
Small (32-1),20527,13.0
Small (32-1),20539,12.0
Small (32-1),20549,10.0
Small (32-1),20564,15.0
Small (32-1),20579,15.0
Small (32-1),20589,10.0
Small (32-1),20604,15.0
Small (32-1),20616,12.0
Small (32-1),20626,10.0
Small (32-1),20642,16.0
Small (32-1),20656,14.0
Small (32-1),20668,12.0
Small (32-1),20682,14.0
Small (32-1),20692,10.0
Small (32-1),20707,15.0
Small (32-1),20718,11.0
Small (32-1),20734,16.0
Small (32-1),20745,11.0
Small (32-1),20756,11.0
Small (32-1),20770,14.0
Small (32-1),20785,15.0
Small (32-1),20797,12.0
Small (32-1),20813,16.0
Small (32-1),20823,10.0
Small (32-1),20837,14.0
Small (32-1),20851,14.0
Small (32-1),20868,17.0
Small (32-1),20887,19.0
Small (32-1),20902,15.0
Small (32-1),20913,11.0
Small (32-1),20932,19.0
Small (32-1),20963,31.0
Small (32-1),20980,17.0
Small (32-1),20996,16.0
Small (32-1),21013,17.0
Small (32-1),21041,28.0
Small (32-1),21065,24.0
Small (32-1),21096,31.0
Small (32-1),21155,59.0
Small (32-1),21220,65.0
Small (32-1),21276,56.0
Small (32-1),21369,93.0
Small (32-1),21425,56.0
Small (32-1),21443,18.0
Small (32-1),21458,15.0
Small (32-1),21470,12.0
Small (32-1),21478,8.0
Small (32-1),21492,14.0
Small (32-1),21504,12.0
Small (32-1),21517,13.0
Small (32-1),21525,8.0
Small (32-1),21537,12.0
Small (32-1),21548,11.0
Small (32-1),21558,10.0
Small (32-1),21571,13.0
Small (32-1),21587,16.0
Small (32-1),21598,11.0
Small (32-1),21608,10.0
Small (32-1),21617,9.0
Small (32-1),21626,9.0
Small (32-1),21637,11.0
Small (32-1),21648,11.0
Small (32-1),21662,14.0
Small (32-1),21672,10.0
Small (32-1),21688,16.0
Small (32-1),21701,13.0
Small (32-1),21721,20.0
Small (32-1),21737,16.0
Small (32-1),21761,24.0
Small (32-1),21841,80.0
Small (32-1),21872,31.0
Small (32-1),21918,46.0
Small (32-1),21954,36.0
Small (32-1),22028,74.0
Small (32-1),22060,32.0
Small (32-1),22084,24.0
Small (32-1),22135,51.0
Small (32-1),22170,35.0
Small (32-1),22202,32.0
Small (32-1),22314,112.0
Small (32-1),22365,51.0
Small (32-1),22411,46.0
Small (32-1),22463,52.0
Small (32-1),22493,30.0
Small (32-1),22526,33.0
Small (32-1),22549,23.0
Small (32-1),22568,19.0
Small (32-1),22586,18.0
Small (32-1),22603,17.0
Small (32-1),22630,27.0
Small (32-1),22651,21.0
Small (32-1),22673,22.0
Small (32-1),22691,18.0
Small (32-1),22718,27.0
Small (32-1),22743,25.0
Small (32-1),22761,18.0
Small (32-1),22784,23.0
Small (32-1),22798,14.0
Small (32-1),22810,12.0
Small (32-1),22827,17.0
Small (32-1),22845,18.0
Small (32-1),22890,45.0
Small (32-1),22937,47.0
Small (32-1),22983,46.0
Small (32-1),23007,24.0
Small (32-1),23032,25.0
Small (32-1),23053,21.0
Small (32-1),23066,13.0
Small (32-1),23092,26.0
Small (32-1),23113,21.0
Small (32-1),23140,27.0
Small (32-1),23161,21.0
Small (32-1),23176,15.0
Small (32-1),23196,20.0
Small (32-1),23212,16.0
Small (32-1),23241,29.0
Small (32-1),23273,32.0
Small (32-1),23298,25.0
Small (32-1),23316,18.0
Small (32-1),23340,24.0
Small (32-1),23366,26.0
Small (32-1),23384,18.0
Small (32-1),23403,19.0
Small (32-1),23421,18.0
Small (32-1),23442,21.0
Small (32-1),23457,15.0
Small (32-1),23470,13.0
Small (32-1),23484,14.0
Small (32-1),23494,10.0
Small (32-1),23511,17.0
Small (32-1),23524,13.0
Small (32-1),23539,15.0
Small (32-1),23552,13.0
Small (32-1),23563,11.0
Small (32-1),23573,10.0
Small (32-1),23587,14.0
Small (32-1),23603,16.0
Small (32-1),23618,15.0
Small (32-1),23634,16.0
Small (32-1),23645,11.0
Small (32-1),23658,13.0
Small (32-1),23673,15.0
Small (32-1),23685,12.0
Small (32-1),23701,16.0
Small (32-1),23716,15.0
Small (32-1),23732,16.0
Small (32-1),23744,12.0
Small (32-1),23758,14.0
Small (32-1),23771,13.0
Small (32-1),23783,12.0
Small (32-1),23795,12.0
Small (32-1),23805,10.0
Small (32-1),23815,10.0
Small (32-1),23826,11.0
Small (32-1),23842,16.0
Small (32-1),23855,13.0
Small (32-1),23868,13.0
Small (32-1),23878,10.0
Small (32-1),23889,11.0
Small (32-1),23902,13.0
Small (32-1),23916,14.0
Small (32-1),23928,12.0
Small (32-1),23943,15.0
Small (32-1),23958,15.0
Small (32-1),23975,17.0
Small (32-1),23997,22.0
Small (32-1),24010,13.0
Small (32-1),24031,21.0
Small (32-1),24049,18.0
Small (32-1),24062,13.0
Small (32-1),24077,15.0
Small (32-1),24089,12.0
Small (32-1),24111,22.0
Small (32-1),24127,16.0
Small (32-1),24145,18.0
Small (32-1),24166,21.0
Small (32-1),24190,24.0
Small (32-1),24213,23.0
Small (32-1),24235,22.0
Small (32-1),24273,38.0
Small (32-1),24304,31.0
Small (32-1),24324,20.0
Small (32-1),24358,34.0
Small (32-1),24393,35.0
Small (32-1),24464,71.0
Small (32-1),24547,83.0
Small (32-1),24621,74.0
Small (32-1),24658,37.0
Small (32-1),24683,25.0
Small (32-1),24718,35.0
Small (32-1),24737,19.0
Small (32-1),24789,52.0
Small (32-1),24876,87.0
Small (32-1),24904,28.0
Small (32-1),24942,38.0
Small (32-1),24977,35.0
Small (32-1),25041,64.0
Small (32-1),25065,24.0
Small (32-1),25186,121.0
Small (32-1),25261,75.0
Small (32-1),25319,58.0
Small (32-1),25380,61.0
Small (32-1),25425,45.0
Small (32-1),25471,46.0
Small (32-1),25511,40.0
Small (32-1),25586,75.0
Small (32-1),25614,28.0
Small (32-1),25644,30.0
Small (32-1),25668,24.0
Small (32-1),25716,48.0
Small (32-1),25744,28.0
Small (32-1),25766,22.0
Small (32-1),25806,40.0
Small (32-1),25846,40.0
Small (32-1),25887,41.0
Small (32-1),25933,46.0
Small (32-1),25969,36.0
Small (32-1),26018,49.0
Small (32-1),26055,37.0
Small (32-1),26085,30.0
Small (32-1),26105,20.0
Small (32-1),26119,14.0
Small (32-1),26138,19.0
Small (32-1),26149,11.0
Small (32-1),26160,11.0
Small (32-1),26171,11.0
Small (32-1),26188,17.0
Small (32-1),26202,14.0
Small (32-1),26214,12.0
Small (32-1),26224,10.0
Small (32-1),26238,14.0
Small (32-1),26257,19.0
Small (32-1),26273,16.0
Small (32-1),26290,17.0
Small (32-1),26323,33.0
Small (32-1),26374,51.0
Small (32-1),26444,70.0
Small (32-1),26494,50.0
Small (32-1),26527,33.0
Small (32-1),26556,29.0
Small (32-1),26575,19.0
Small (32-1),26604,29.0
Small (32-1),26633,29.0
Small (32-1),26656,23.0
Small (32-1),26687,31.0
Small (32-1),26709,22.0
Small (32-1),26726,17.0
Small (32-1),26748,22.0
Small (32-1),26769,21.0
Small (32-1),26787,18.0
Small (32-1),26800,13.0
Small (32-1),26816,16.0
Small (32-1),26828,12.0
Small (32-1),26846,18.0
Small (32-1),26890,44.0
Small (32-1),26905,15.0
Small (32-1),26929,24.0
Small (32-1),26950,21.0
Small (32-1),26972,22.0
Small (32-1),26994,22.0
Small (32-1),27026,32.0
Small (32-1),27040,14.0
Small (32-1),27060,20.0
Small (32-1),27076,16.0
Small (32-1),27093,17.0
Small (32-1),27105,12.0
Small (32-1),27123,18.0
Small (32-1),27137,14.0
Small (32-1),27151,14.0
Small (32-1),27161,10.0
Small (32-1),27173,12.0
Small (32-1),27184,11.0
Small (32-1),27196,12.0
Small (32-1),27212,16.0
Small (32-1),27228,16.0
Small (32-1),27252,24.0
Small (32-1),27282,30.0
Small (32-1),27297,15.0
Small (32-1),27316,19.0
Small (32-1),27337,21.0
Small (32-1),27359,22.0
Small (32-1),27377,18.0
Small (32-1),27391,14.0
Small (32-1),27409,18.0
Small (32-1),27428,19.0
Small (32-1),27451,23.0
Small (32-1),27471,20.0
Small (32-1),27489,18.0
Small (32-1),27508,19.0
Small (32-1),27524,16.0
Small (32-1),27551,27.0
Small (32-1),27571,20.0
Small (32-1),27599,28.0
Small (32-1),27619,20.0
Small (32-1),27655,36.0
Small (32-1),27728,73.0
Small (32-1),27764,36.0
Small (32-1),27799,35.0
Small (32-1),27843,44.0
Small (32-1),27872,29.0
Small (32-1),27899,27.0
Small (32-1),27947,48.0
Small (32-1),27973,26.0
Small (32-1),28011,38.0
Small (32-1),28048,37.0
Small (32-1),28098,50.0
Small (32-1),28141,43.0
Small (32-1),28183,42.0
Small (32-1),28226,43.0
Small (32-1),28261,35.0
Small (32-1),28340,79.0
Small (32-1),28458,118.0
Small (32-1),28501,43.0
Small (32-1),28537,36.0
Small (32-1),28576,39.0
Small (32-1),28609,33.0
Small (32-1),28662,53.0
Small (32-1),28711,49.0
Small (32-1),28768,57.0
Small (32-1),28806,38.0
Small (32-1),28848,42.0
Small (32-1),28890,42.0
Small (32-1),28917,27.0
Small (32-1),28940,23.0
Small (32-1),28970,30.0
Small (32-1),28994,24.0
Small (32-1),29021,27.0
Small (32-1),29061,40.0
Small (32-1),29096,35.0
Small (32-1),29142,46.0
Small (32-1),29199,57.0
Small (32-1),29248,49.0
Small (32-1),29305,57.0
Small (32-1),29382,77.0
Small (32-1),29418,36.0
Small (32-1),29470,52.0
Small (32-1),29526,56.0
Small (32-1),29550,24.0
Small (32-1),29659,109.0
Small (32-1),29697,38.0
Small (32-1),29729,32.0
Small (32-1),29754,25.0
Small (32-1),29784,30.0
Small (32-1),29820,36.0
Small (32-1),29844,24.0
Small (32-1),29869,25.0
Small (32-1),29887,18.0
Small (32-1),29912,25.0
Small (32-1),29933,21.0
Small (32-1),29949,16.0
Small (32-1),29962,13.0
Small (32-1),29979,17.0
Small (32-1),29999,20.0
Small (32-1),30020,21.0
Small (32-1),30038,18.0
Small (32-1),30058,20.0
Small (32-1),30083,25.0
Small (32-1),30113,30.0
Small (32-1),30152,39.0
Small (32-1),30183,31.0
Small (32-1),30204,21.0
Small (32-1),30231,27.0
Small (32-1),30262,31.0
Small (32-1),30283,21.0
Small (32-1),30303,20.0
Small (32-1),30320,17.0
Small (32-1),30338,18.0
Small (32-1),30358,20.0
Small (32-1),30382,24.0
Small (32-1),30417,35.0
Small (32-1),30444,27.0
Small (32-1),30471,27.0
Small (32-1),30494,23.0
Small (32-1),30520,26.0
Small (32-1),30550,30.0
Small (32-1),30572,22.0
Small (32-1),30601,29.0
Small (32-1),30625,24.0
Small (32-1),30656,31.0
Small (32-1),30760,104.0
Small (32-1),30806,46.0
Small (32-1),30870,64.0
Small (32-1),30950,80.0
Small (32-1),31003,53.0
Small (32-1),31039,36.0
Small (32-1),31095,56.0
Small (32-1),31146,51.0
Small (32-1),31193,47.0
Small (32-1),31212,19.0
Small (32-1),31239,27.0
Small (32-1),31294,55.0
Small (32-1),31389,95.0
Small (32-1),31431,42.0
Small (32-1),31494,63.0
Small (32-1),31573,79.0
Small (32-1),31666,93.0
Small (32-1),31719,53.0
Small (32-1),31766,47.0
Small (32-1),31829,63.0
Small (32-1),31863,34.0
Small (32-1),31894,31.0
Small (32-1),31918,24.0
Small (32-1),31988,70.0
Small (32-1),32025,37.0
Small (32-1),32057,32.0
Small (32-1),32149,92.0
Small (32-1),32183,34.0
Small (32-1),32226,43.0
Small (32-1),32269,43.0
Small (32-1),32386,117.0
Small (32-1),32426,40.0
Small (32-1),32461,35.0
Small (32-1),32516,55.0
Small (32-1),32598,82.0
Small (32-1),32632,34.0
Small (32-1),32687,55.0
Small (32-1),32711,24.0
Small (32-1),32750,39.0
Small (32-1),32783,33.0
Small (32-1),32829,46.0
Small (32-1),32864,35.0
Small (32-1),32895,31.0
Small (32-1),32926,31.0
Small (32-1),32951,25.0
Small (32-1),32977,26.0
Small (32-1),33009,32.0
Small (32-1),33043,34.0
Small (32-1),33069,26.0
Small (32-1),33109,40.0
Small (32-1),33137,28.0
Small (32-1),33166,29.0
Small (32-1),33208,42.0
Small (32-1),33241,33.0
Small (32-1),33297,56.0
Small (32-1),33358,61.0
Small (32-1),33484,126.0
Small (32-1),33559,75.0
Small (32-1),33601,42.0
Small (32-1),33632,31.0
Small (32-1),33658,26.0
Small (32-1),33729,71.0
Small (32-1),33761,32.0
Small (32-1),33802,41.0
Small (32-1),33855,53.0
Small (32-1),33883,28.0
Small (32-1),33929,46.0
Small (32-1),33969,40.0
Small (32-1),33997,28.0
Small (32-1),34045,48.0
Small (32-1),34079,34.0
Small (32-1),34107,28.0
Small (32-1),34134,27.0
Small (32-1),34163,29.0
Small (32-1),34188,25.0
Small (32-1),34204,16.0
Small (32-1),34227,23.0
Small (32-1),34250,23.0
Small (32-1),34270,20.0
Small (32-1),34298,28.0
Small (32-1),34328,30.0
Small (32-1),34370,42.0
Small (32-1),34404,34.0
Small (32-1),34443,39.0
Small (32-1),34500,57.0
Small (32-1),34540,40.0
Small (32-1),34592,52.0
Small (32-1),34617,25.0
Small (32-1),34657,40.0
Small (32-1),34685,28.0
Small (32-1),34717,32.0
Small (32-1),34754,37.0
Small (32-1),34790,36.0
Small (32-1),34813,23.0
Small (32-1),34850,37.0
Small (32-1),34871,21.0
Small (32-1),34908,37.0
Small (32-1),34926,18.0
Small (32-1),34948,22.0
Small (32-1),34982,34.0
Small (32-1),35033,51.0
Small (32-1),35090,57.0
Small (32-1),35129,39.0
Small (32-1),35159,30.0
Small (32-1),35201,42.0
Small (32-1),35231,30.0
Small (32-1),35289,58.0
Small (32-1),35319,30.0
Small (32-1),35351,32.0
Small (32-1),35381,30.0
Small (32-1),35421,40.0
Small (32-1),35456,35.0
Small (32-1),35494,38.0
Small (32-1),35525,31.0
Small (32-1),35550,25.0
Small (32-1),35597,47.0
Small (32-1),35651,54.0
Small (32-1),35686,35.0
Small (32-1),35720,34.0
Small (32-1),35776,56.0
Small (32-1),35815,39.0
Small (32-1),35847,32.0
Small (32-1),35879,32.0
Small (32-1),35933,54.0
Small (32-1),35961,28.0
Small (32-1),35994,33.0
Small (32-1),36031,37.0
Small (32-1),36069,38.0
Small (32-1),36105,36.0
Small (32-1),36139,34.0
Small (32-1),36169,30.0
Small (32-1),36207,38.0
Small (32-1),36236,29.0
Small (32-1),36270,34.0
Small (32-1),36296,26.0
Small (32-1),36318,22.0
Small (32-1),36356,38.0
Small (32-1),36391,35.0
Small (32-1),36428,37.0
Small (32-1),36497,69.0
Small (32-1),36529,32.0
Small (32-1),36569,40.0
Small (32-1),36603,34.0
Small (32-1),36642,39.0
Small (32-1),36669,27.0
Small (32-1),36693,24.0
Small (32-1),36715,22.0
Small (32-1),36739,24.0
Small (32-1),36768,29.0
Small (32-1),36802,34.0
Small (32-1),36828,26.0
Small (32-1),36854,26.0
Small (32-1),36889,35.0
Small (32-1),36945,56.0
Small (32-1),36986,41.0
Small (32-1),37036,50.0
Small (32-1),37144,108.0
Small (32-1),37322,178.0
Small (32-1),37349,27.0
Small (32-1),37378,29.0
Small (32-1),37403,25.0
Small (32-1),37435,32.0
Small (32-1),37489,54.0
Small (32-1),37513,24.0
Small (32-1),37537,24.0
Small (32-1),37562,25.0
Small (32-1),37583,21.0
Small (32-1),37603,20.0
Small (32-1),37626,23.0
Small (32-1),37653,27.0
Small (32-1),37670,17.0
Small (32-1),37686,16.0
Small (32-1),37700,14.0
Small (32-1),37711,11.0
Small (32-1),37725,14.0
Small (32-1),37737,12.0
Small (32-1),37752,15.0
Small (32-1),37771,19.0
Small (32-1),37786,15.0
Small (32-1),37804,18.0
Small (32-1),37824,20.0
Small (32-1),37844,20.0
Small (32-1),37861,17.0
Small (32-1),37879,18.0
Small (32-1),37900,21.0
Small (32-1),37918,18.0
Small (32-1),37934,16.0
Small (32-1),37958,24.0
Small (32-1),37983,25.0
Small (32-1),38008,25.0
Small (32-1),38055,47.0
Small (32-1),38118,63.0
Small (32-1),38161,43.0
Small (32-1),38196,35.0
Small (32-1),38240,44.0
Small (32-1),38284,44.0
Small (32-1),38314,30.0
Small (32-1),38349,35.0
Small (32-1),38388,39.0
Small (32-1),38420,32.0
Small (32-1),38535,115.0
Small (32-1),38570,35.0
Small (32-1),38627,57.0
Small (32-1),38669,42.0
Small (32-1),38697,28.0
Small (32-1),38727,30.0
Small (32-1),38746,19.0
Small (32-1),38771,25.0
Small (32-1),38791,20.0
Small (32-1),38809,18.0
Small (32-1),38823,14.0
Small (32-1),38857,34.0
Small (32-1),38909,52.0
Small (32-1),38940,31.0
Small (32-1),38980,40.0
Small (32-1),39012,32.0
Small (32-1),39045,33.0
Small (32-1),39086,41.0
Small (32-1),39115,29.0
Small (32-1),39155,40.0
Small (32-1),39203,48.0
Small (32-1),39243,40.0
Small (32-1),39300,57.0
Small (32-1),39340,40.0
Small (32-1),39382,42.0
Small (32-1),39417,35.0
Small (32-1),39480,63.0
Small (32-1),39552,72.0
Small (32-1),39624,72.0
Small (32-1),39804,180.0
Small (32-1),39823,19.0
Small (32-1),39838,15.0
Small (32-1),39854,16.0
Small (32-1),39875,21.0
Small (32-1),39891,16.0
Small (32-1),39912,21.0
Small (32-1),39928,16.0
Small (32-1),39945,17.0
Small (32-1),39961,16.0
Small (32-1),39980,19.0
Small (32-1),39998,18.0
Small (32-1),40015,17.0
Small (32-1),40036,21.0
Small (32-1),40057,21.0
Small (32-1),40076,19.0
Small (32-1),40093,17.0
Small (32-1),40116,23.0
Small (32-1),40133,17.0
Small (32-1),40152,19.0
Small (32-1),40174,22.0
Small (32-1),40195,21.0
Small (32-1),40220,25.0
Small (32-1),40245,25.0
Small (32-1),40266,21.0
Small (32-1),40293,27.0
Small (32-1),40310,17.0
Small (32-1),40336,26.0
Small (32-1),40358,22.0
Small (32-1),40378,20.0
Small (32-1),40411,33.0
Small (32-1),40446,35.0
Small (32-1),40497,51.0
Small (32-1),40528,31.0
Small (32-1),40584,56.0
Small (32-1),40653,69.0
Small (32-1),40725,72.0
Small (32-1),40784,59.0
Small (32-1),40848,64.0
Small (32-1),40906,58.0
Small (32-1),40976,70.0
Small (32-1),41026,50.0
Small (32-1),41096,70.0
Small (32-1),41181,85.0
Small (32-1),41242,61.0
Small (32-1),41325,83.0
Small (32-1),41386,61.0
Small (32-1),41472,86.0
Small (32-1),41505,33.0
Small (32-1),41545,40.0
Small (32-1),41610,65.0
Small (32-1),41654,44.0
Small (32-1),41721,67.0
Small (32-1),41773,52.0
Small (32-1),41841,68.0
Small (32-1),41905,64.0
Small (32-1),42012,107.0
Small (32-1),42081,69.0
Small (32-1),42183,102.0
Small (32-1),42213,30.0
Small (32-1),42256,43.0
Small (32-1),42292,36.0
Small (32-1),42350,58.0
Small (32-1),42378,28.0
Small (32-1),42410,32.0
Small (32-1),42439,29.0
Small (32-1),42478,39.0
Small (32-1),42518,40.0
Small (32-1),42548,30.0
Small (32-1),42597,49.0
Small (32-1),42657,60.0
Small (32-1),42711,54.0
Small (32-1),42776,65.0
Small (32-1),42838,62.0
Small (32-1),42935,97.0
Small (32-1),42983,48.0
Small (32-1),43024,41.0
Small (32-1),43066,42.0
Small (32-1),43111,45.0
Small (32-1),43183,72.0
Small (32-1),43218,35.0
Small (32-1),43248,30.0
Small (32-1),43284,36.0
Small (32-1),43321,37.0
Small (32-1),43354,33.0
Small (32-1),43392,38.0
Small (32-1),43412,20.0
Small (32-1),43437,25.0
Small (32-1),43460,23.0
Small (32-1),43480,20.0
Small (32-1),43505,25.0
Small (32-1),43528,23.0
Small (32-1),43547,19.0
Small (32-1),43566,19.0
Small (32-1),43583,17.0
Small (32-1),43609,26.0
Small (32-1),43631,22.0
Small (32-1),43653,22.0
Small (32-1),43684,31.0
Small (32-1),43705,21.0
Small (32-1),43729,24.0
Small (32-1),43768,39.0
Small (32-1),43794,26.0
Small (32-1),43826,32.0
Small (32-1),43853,27.0
Small (32-1),43897,44.0
Small (32-1),43924,27.0
Small (32-1),43975,51.0
Small (32-1),44002,27.0
Small (32-1),44047,45.0
Small (32-1),44084,37.0
Small (32-1),44125,41.0
Small (32-1),44194,69.0
Small (32-1),44232,38.0
Small (32-1),44378,146.0
Small (32-1),44395,17.0
Small (32-1),44417,22.0
Small (32-1),44431,14.0
Small (32-1),44443,12.0
Small (32-1),44458,15.0
Small (32-1),44472,14.0
Small (32-1),44484,12.0
Small (32-1),44499,15.0
Small (32-1),44512,13.0
Small (32-1),44523,11.0
Small (32-1),44538,15.0
Small (32-1),44549,11.0
Small (32-1),44560,11.0
Small (32-1),44570,10.0
Small (32-1),44583,13.0
Small (32-1),44597,14.0
Small (32-1),44609,12.0
Small (32-1),44620,11.0
Small (32-1),44630,10.0
Small (32-1),44644,14.0
Small (32-1),44655,11.0
Small (32-1),44668,13.0
Small (32-1),44680,12.0
Small (32-1),44691,11.0
Small (32-1),44705,14.0
Small (32-1),44717,12.0
Small (32-1),44729,12.0
Small (32-1),44744,15.0
Small (32-1),44759,15.0
Small (32-1),44772,13.0
Small (32-1),44787,15.0
Small (32-1),44803,16.0
Small (32-1),44821,18.0
Small (32-1),44833,12.0
Small (32-1),44845,12.0
Small (32-1),44860,15.0
Small (32-1),44873,13.0
Small (32-1),44888,15.0
Small (32-1),44905,17.0
Small (32-1),44919,14.0
Small (32-1),44936,17.0
Small (32-1),44954,18.0
Small (32-1),44972,18.0
Small (32-1),44991,19.0
Small (32-1),45008,17.0
Small (32-1),45027,19.0
Small (32-1),45046,19.0
Small (32-1),45066,20.0
Small (32-1),45085,19.0
Small (32-1),45113,28.0
Small (32-1),45135,22.0
Small (32-1),45156,21.0
Small (32-1),45191,35.0
Small (32-1),45216,25.0
Small (32-1),45256,40.0
Small (32-1),45324,68.0
Small (32-1),45401,77.0
Small (32-1),45498,97.0
Small (32-1),45543,45.0
Small (32-1),45559,16.0
Small (32-1),45583,24.0
Small (32-1),45658,75.0
Small (32-1),45807,149.0
Small (32-1),45861,54.0
Small (32-1),45883,22.0
Small (32-1),45915,32.0
Small (32-1),45950,35.0
Small (32-1),46014,64.0
Small (32-1),46173,159.0
Small (32-1),46289,116.0
Small (32-1),46320,31.0
Small (32-1),46350,30.0
Small (32-1),46529,179.0
Small (32-1),46568,39.0
Small (32-1),46706,138.0
Small (32-1),46861,155.0
Small (32-1),46915,54.0
Small (32-1),47074,159.0
Small (32-1),47123,49.0
Small (32-1),47160,37.0
Small (32-1),47191,31.0
Small (32-1),47289,98.0
Small (32-1),47312,23.0
Small (32-1),47500,188.0
Small (32-1),47573,73.0
Small (32-1),47729,156.0
Small (32-1),47755,26.0
Small (32-1),47787,32.0
Small (32-1),47804,17.0
Small (32-1),47834,30.0
Small (32-1),48001,167.0
Small (32-1),48201,200.0
Small (32-1),48239,38.0
Small (32-1),48291,52.0
Small (32-1),48442,151.0
Small (32-1),48475,33.0
Small (32-1),48639,164.0
Small (32-1),48758,119.0
Small (32-1),48790,32.0
Small (32-1),48822,32.0
Small (32-1),48847,25.0
Small (32-1),48862,15.0
Small (32-1),48877,15.0
Small (32-1),48895,18.0
Small (32-1),48921,26.0
Small (32-1),48939,18.0
Small (32-1),48960,21.0
Small (32-1),48978,18.0
Small (32-1),48993,15.0
Small (32-1),49008,15.0
Small (32-1),49022,14.0
Small (32-1),49037,15.0
Small (32-1),49072,35.0
Small (32-1),49095,23.0
Small (32-1),49117,22.0
Small (32-1),49137,20.0
Small (32-1),49159,22.0
Small (32-1),49174,15.0
Small (32-1),49191,17.0
Small (32-1),49207,16.0
Small (32-1),49225,18.0
Small (32-1),49237,12.0
Small (32-1),49253,16.0
Small (32-1),49264,11.0
Small (32-1),49285,21.0
Small (32-1),49300,15.0
Small (32-1),49314,14.0
Small (32-1),49327,13.0
Small (32-1),49344,17.0
Small (32-1),49362,18.0
Small (32-1),49383,21.0
Small (32-1),49410,27.0
Small (32-1),49433,23.0
Small (32-1),49457,24.0
Small (32-1),49482,25.0
Small (32-1),49509,27.0
Small (32-1),49541,32.0
Small (32-1),49591,50.0
Small (32-1),49618,27.0
Small (32-1),49742,124.0
Small (32-1),49862,120.0
Small (32-1),49980,118.0
Small (32-1),50030,50.0
Small (32-1),50149,119.0
Small (32-1),50289,140.0
Small (32-1),50420,131.0
Small (32-1),50594,174.0
Small (32-1),50772,178.0
Small (32-1),50903,131.0
Small (32-1),51039,136.0
Small (32-1),51162,123.0
Small (32-1),51275,113.0
Small (32-1),51315,40.0
Small (32-1),51353,38.0
Small (32-1),51392,39.0
Small (32-1),51435,43.0
Small (32-1),51578,143.0
Small (32-1),51731,153.0
Small (32-1),51818,87.0
Small (32-1),51880,62.0
Small (32-1),51930,50.0
Small (32-1),52060,130.0
Small (32-1),52195,135.0
Small (32-1),52231,36.0
Small (32-1),52261,30.0
Small (32-1),52280,19.0
Small (32-1),52313,33.0
Small (32-1),52334,21.0
Small (32-1),52356,22.0
Small (32-1),52375,19.0
Small (32-1),52389,14.0
Small (32-1),52403,14.0
Small (32-1),52417,14.0
Small (32-1),52431,14.0
Small (32-1),52446,15.0
Small (32-1),52459,13.0
Small (32-1),52471,12.0
Small (32-1),52481,10.0
Small (32-1),52495,14.0
Small (32-1),52513,18.0
Small (32-1),52524,11.0
Small (32-1),52538,14.0
Small (32-1),52551,13.0
Small (32-1),52565,14.0
Small (32-1),52586,21.0
Small (32-1),52603,17.0
Small (32-1),52618,15.0
Small (32-1),52631,13.0
Small (32-1),52648,17.0
Small (32-1),52660,12.0
Small (32-1),52683,23.0
Small (32-1),52698,15.0
Small (32-1),52716,18.0
Small (32-1),52731,15.0
Small (32-1),52747,16.0
Small (32-1),52769,22.0
Small (32-1),52813,44.0
Small (32-1),52904,91.0
Small (32-1),52945,41.0
Small (32-1),52987,42.0
Small (32-1),53019,32.0
Small (32-1),53069,50.0
Small (32-1),53112,43.0
Small (32-1),53152,40.0
Small (32-1),53196,44.0
Small (32-1),53237,41.0
Small (32-1),53278,41.0
Small (32-1),53323,45.0
Small (32-1),53355,32.0
Small (32-1),53384,29.0
Small (32-1),53411,27.0
Small (32-1),53440,29.0
Small (32-1),53474,34.0
Small (32-1),53498,24.0
Small (32-1),53527,29.0
Small (32-1),53555,28.0
Small (32-1),53581,26.0
Small (32-1),53607,26.0
Small (32-1),53627,20.0
Small (32-1),53646,19.0
Small (32-1),53667,21.0
Small (32-1),53689,22.0
Small (32-1),53706,17.0
Small (32-1),53726,20.0
Small (32-1),53749,23.0
Small (32-1),53766,17.0
Small (32-1),53783,17.0
Small (32-1),53804,21.0
Small (32-1),53819,15.0
Small (32-1),53835,16.0
Small (32-1),53854,19.0
Small (32-1),53868,14.0
Small (32-1),53886,18.0
Small (32-1),53908,22.0
Small (32-1),53927,19.0
Small (32-1),53942,15.0
Small (32-1),53960,18.0
Small (32-1),53978,18.0
Small (32-1),53995,17.0
Small (32-1),54014,19.0
Small (32-1),54032,18.0
Small (32-1),54051,19.0
Small (32-1),54072,21.0
Small (32-1),54087,15.0
Small (32-1),54103,16.0
Small (32-1),54121,18.0
Small (32-1),54137,16.0
Small (32-1),54157,20.0
Small (32-1),54174,17.0
Small (32-1),54192,18.0
Small (32-1),54212,20.0
Small (32-1),54233,21.0
Small (32-1),54260,27.0
