Network Size,Total Steps,Average Reward
Small (32-1),4617,13.0
Small (32-1),4633,16.0
Small (32-1),4647,14.0
Small (32-1),4662,15.0
Small (32-1),4684,22.0
Small (32-1),4693,9.0
Small (32-1),4704,11.0
Small (32-1),4722,18.0
Small (32-1),4732,10.0
Small (32-1),4751,19.0
Small (32-1),4763,12.0
Small (32-1),4780,17.0
Small (32-1),4792,12.0
Small (32-1),4802,10.0
Small (32-1),4816,14.0
Small (32-1),4830,14.0
Small (32-1),4843,13.0
Small (32-1),4877,34.0
Small (32-1),4896,19.0
Small (32-1),4908,12.0
Small (32-1),4919,11.0
Small (32-1),4948,29.0
Small (32-1),5001,53.0
Small (32-1),5011,10.0
Small (32-1),5024,13.0
Small (32-1),5043,19.0
Small (32-1),5053,10.0
Small (32-1),5068,15.0
Small (32-1),5090,22.0
Small (32-1),5115,25.0
Small (32-1),5127,12.0
Small (32-1),5139,12.0
Small (32-1),5154,15.0
Small (32-1),5173,19.0
Small (32-1),5200,27.0
Small (32-1),5210,10.0
Small (32-1),5226,16.0
Small (32-1),5242,16.0
Small (32-1),5256,14.0
Small (32-1),5268,12.0
Small (32-1),5288,20.0
Small (32-1),5298,10.0
Small (32-1),5322,24.0
Small (32-1),5347,25.0
Small (32-1),5363,16.0
Small (32-1),5378,15.0
Small (32-1),5390,12.0
Small (32-1),5408,18.0
Small (32-1),5423,15.0
Small (32-1),5433,10.0
Small (32-1),5456,23.0
Small (32-1),5482,26.0
Small (32-1),5503,21.0
Small (32-1),5521,18.0
Small (32-1),5536,15.0
Small (32-1),5574,38.0
Small (32-1),5604,30.0
Small (32-1),5622,18.0
Small (32-1),5645,23.0
Small (32-1),5659,14.0
Small (32-1),5680,21.0
Small (32-1),5690,10.0
Small (32-1),5703,13.0
Small (32-1),5713,10.0
Small (32-1),5724,11.0
Small (32-1),5756,32.0
Small (32-1),5775,19.0
Small (32-1),5793,18.0
Small (32-1),5811,18.0
Small (32-1),5825,14.0
Small (32-1),5847,22.0
Small (32-1),5858,11.0
Small (32-1),5900,42.0
Small (32-1),5922,22.0
Small (32-1),5943,21.0
Small (32-1),5987,44.0
Small (32-1),6020,33.0
Small (32-1),6036,16.0
Small (32-1),6048,12.0
Small (32-1),6079,31.0
Small (32-1),6097,18.0
Small (32-1),6110,13.0
Small (32-1),6120,10.0
Small (32-1),6135,15.0
Small (32-1),6156,21.0
Small (32-1),6169,13.0
Small (32-1),6191,22.0
Small (32-1),6203,12.0
Small (32-1),6236,33.0
Small (32-1),6262,26.0
Small (32-1),6278,16.0
Small (32-1),6328,50.0
Small (32-1),6338,10.0
Small (32-1),6383,45.0
Small (32-1),6421,38.0
Small (32-1),6433,12.0
Small (32-1),6460,27.0
Small (32-1),6473,13.0
Small (32-1),6487,14.0
Small (32-1),6500,13.0
Small (32-1),6510,10.0
Small (32-1),6528,18.0
Small (32-1),6551,23.0
Small (32-1),6595,44.0
Small (32-1),6610,15.0
Small (32-1),6626,16.0
Small (32-1),6636,10.0
Small (32-1),6652,16.0
Small (32-1),6677,25.0
Small (32-1),6698,21.0
Small (32-1),6718,20.0
Small (32-1),6751,33.0
Small (32-1),6802,51.0
Small (32-1),6843,41.0
Small (32-1),6857,14.0
Small (32-1),6883,26.0
Small (32-1),6901,18.0
Small (32-1),6922,21.0
Small (32-1),6941,19.0
Small (32-1),7008,67.0
Small (32-1),7034,26.0
Small (32-1),7046,12.0
Small (32-1),7065,19.0
Small (32-1),7076,11.0
Small (32-1),7097,21.0
Small (32-1),7115,18.0
Small (32-1),7130,15.0
Small (32-1),7146,16.0
Small (32-1),7161,15.0
Small (32-1),7179,18.0
Small (32-1),7227,48.0
Small (32-1),7253,26.0
Small (32-1),7287,34.0
Small (32-1),7320,33.0
Small (32-1),7370,50.0
Small (32-1),7382,12.0
Small (32-1),7397,15.0
Small (32-1),7421,24.0
Small (32-1),7468,47.0
Small (32-1),7489,21.0
Small (32-1),7524,35.0
Small (32-1),7546,22.0
Small (32-1),7559,13.0
Small (32-1),7567,8.0
Small (32-1),7587,20.0
Small (32-1),7618,31.0
Small (32-1),7631,13.0
Small (32-1),7643,12.0
Small (32-1),7675,32.0
Small (32-1),7689,14.0
Small (32-1),7712,23.0
Small (32-1),7731,19.0
Small (32-1),7743,12.0
Small (32-1),7756,13.0
Small (32-1),7768,12.0
Small (32-1),7790,22.0
Small (32-1),7802,12.0
Small (32-1),7825,23.0
Small (32-1),7852,27.0
Small (32-1),7865,13.0
Small (32-1),7875,10.0
Small (32-1),7888,13.0
Small (32-1),7911,23.0
Small (32-1),7922,11.0
Small (32-1),7935,13.0
Small (32-1),7950,15.0
Small (32-1),7962,12.0
Small (32-1),7978,16.0
Small (32-1),7990,12.0
Small (32-1),8008,18.0
Small (32-1),8023,15.0
Small (32-1),8034,11.0
Small (32-1),8044,10.0
Small (32-1),8065,21.0
Small (32-1),8085,20.0
Small (32-1),8097,12.0
Small (32-1),8142,45.0
Small (32-1),8161,19.0
Small (32-1),8175,14.0
Small (32-1),8199,24.0
Small (32-1),8242,43.0
Small (32-1),8279,37.0
Small (32-1),8326,47.0
Small (32-1),8397,71.0
Small (32-1),8434,37.0
Small (32-1),8469,35.0
Small (32-1),8501,32.0
Small (32-1),8523,22.0
Small (32-1),8547,24.0
Small (32-1),8560,13.0
Small (32-1),8578,18.0
Small (32-1),8592,14.0
Small (32-1),8619,27.0
Small (32-1),8639,20.0
Small (32-1),8653,14.0
Small (32-1),8683,30.0
Small (32-1),8715,32.0
Small (32-1),8727,12.0
Small (32-1),8737,10.0
Small (32-1),8749,12.0
Small (32-1),8757,8.0
Small (32-1),8770,13.0
Small (32-1),8801,31.0
Small (32-1),8812,11.0
Small (32-1),8835,23.0
Small (32-1),8858,23.0
Small (32-1),8871,13.0
Small (32-1),8887,16.0
Small (32-1),8902,15.0
Small (32-1),8915,13.0
Small (32-1),8926,11.0
Small (32-1),8938,12.0
Small (32-1),8950,12.0
Small (32-1),8965,15.0
Small (32-1),8986,21.0
Small (32-1),8998,12.0
Small (32-1),9009,11.0
Small (32-1),9018,9.0
Small (32-1),9030,12.0
Small (32-1),9046,16.0
Small (32-1),9065,19.0
Small (32-1),9078,13.0
Small (32-1),9112,34.0
Small (32-1),9132,20.0
Small (32-1),9149,17.0
Small (32-1),9161,12.0
Small (32-1),9184,23.0
Small (32-1),9199,15.0
Small (32-1),9218,19.0
Small (32-1),9257,39.0
Small (32-1),9271,14.0
Small (32-1),9315,44.0
Small (32-1),9340,25.0
Small (32-1),9356,16.0
Small (32-1),9383,27.0
Small (32-1),9401,18.0
Small (32-1),9427,26.0
Small (32-1),9445,18.0
Small (32-1),9481,36.0
Small (32-1),9498,17.0
Small (32-1),9513,15.0
Small (32-1),9533,20.0
Small (32-1),9604,71.0
Small (32-1),9630,26.0
Small (32-1),9656,26.0
Small (32-1),9713,57.0
Small (32-1),9735,22.0
Small (32-1),9782,47.0
Small (32-1),9800,18.0
Small (32-1),9836,36.0
Small (32-1),9862,26.0
Small (32-1),9873,11.0
Small (32-1),9897,24.0
Small (32-1),9908,11.0
Small (32-1),9921,13.0
Small (32-1),9954,33.0
Small (32-1),9973,19.0
Small (32-1),9990,17.0
Small (32-1),10017,27.0
Small (32-1),10040,23.0
Small (32-1),10053,13.0
Small (32-1),10067,14.0
Small (32-1),10078,11.0
Small (32-1),10094,16.0
Small (32-1),10107,13.0
Small (32-1),10123,16.0
Small (32-1),10136,13.0
Small (32-1),10148,12.0
Small (32-1),10170,22.0
Small (32-1),10196,26.0
Small (32-1),10209,13.0
Small (32-1),10219,10.0
Small (32-1),10236,17.0
Small (32-1),10251,15.0
Small (32-1),10265,14.0
Small (32-1),10281,16.0
Small (32-1),10303,22.0
Small (32-1),10312,9.0
Small (32-1),10327,15.0
Small (32-1),10370,43.0
Small (32-1),10381,11.0
Small (32-1),10394,13.0
Small (32-1),10413,19.0
Small (32-1),10428,15.0
Small (32-1),10440,12.0
Small (32-1),10457,17.0
Small (32-1),10468,11.0
Small (32-1),10479,11.0
Small (32-1),10513,34.0
Small (32-1),10534,21.0
Small (32-1),10545,11.0
Small (32-1),10558,13.0
Small (32-1),10572,14.0
Small (32-1),10581,9.0
Small (32-1),10593,12.0
Small (32-1),10603,10.0
Small (32-1),10616,13.0
Small (32-1),10625,9.0
Small (32-1),10638,13.0
Small (32-1),10656,18.0
Small (32-1),10670,14.0
Small (32-1),10692,22.0
Small (32-1),10709,17.0
Small (32-1),10723,14.0
Small (32-1),10742,19.0
Small (32-1),10756,14.0
Small (32-1),10770,14.0
Small (32-1),10796,26.0
Small (32-1),10807,11.0
Small (32-1),10822,15.0
Small (32-1),10851,29.0
Small (32-1),10864,13.0
Small (32-1),10879,15.0
Small (32-1),10899,20.0
Small (32-1),10926,27.0
Small (32-1),10938,12.0
Small (32-1),10955,17.0
Small (32-1),10968,13.0
Small (32-1),10985,17.0
Small (32-1),11011,26.0
Small (32-1),11051,40.0
