Learning Rate,Episode,Mean Total Reward,Std Dev
0.0001,1,22.0,13.682105101189656
0.0001,2,29.6,13.305637902783918
0.0001,3,24.0,9.899494936611665
0.0001,4,12.2,2.2271057451320084
0.0001,5,22.8,16.054905792311583
0.0001,6,29.2,8.863407922464136
0.0001,7,16.2,3.655133376499413
0.0001,8,26.4,13.850631754544628
0.0001,9,31.4,11.80847153530041
0.0001,10,17.2,4.707440918375928
0.0001,11,23.8,8.588364221433554
0.0001,12,35.8,10.979981785048643
0.0001,13,17.2,6.3999999999999995
0.0001,14,21.6,8.138795979750322
0.0001,15,28.6,13.275541420220872
0.0001,16,15.2,5.30659966456864
0.0001,17,19.6,6.374950980203691
0.0001,18,21.6,5.238320341483518
0.0001,19,14.6,2.870540018881465
0.0001,20,26.4,12.658593918757328
0.0001,21,17.2,5.775811631277461
0.0001,22,20.0,7.0710678118654755
0.0001,23,14.6,3.440930106817051
0.0001,24,18.8,6.615134163416491
0.0001,25,19.2,7.730459236035075
0.0001,26,23.6,6.053098380168622
0.0001,27,35.8,17.993332098307974
0.0001,28,14.6,1.0198039027185568
0.0001,29,13.4,4.029888335921977
0.0001,30,15.8,2.993325909419153
0.0001,31,17.6,7.863841300535
0.0001,32,17.0,6.782329983125268
0.0001,33,21.8,7.35934779718964
0.0001,34,20.2,13.481839637082173
0.0001,35,15.2,5.878775382679628
0.0001,36,17.6,4.176122603564219
0.0001,37,21.4,1.8547236990991407
0.0001,38,19.2,7.19444229944198
0.0001,39,29.6,19.794948850653796
0.0001,40,28.2,14.441606558828557
0.0001,41,20.0,7.4565407529228995
0.0001,42,17.6,2.5768197453450252
0.0001,43,18.8,10.127191120937729
0.0001,44,26.6,11.499565209172042
0.0001,45,17.4,3.6110940170535577
0.0001,46,19.8,7.626270385975047
0.0001,47,21.8,8.23164625090267
0.0001,48,28.8,10.419213022104886
0.0001,49,22.0,4.8166378315169185
0.0001,50,15.2,5.418486873657627
0.0001,51,17.0,6.81175454637056
0.0001,52,20.0,10.119288512538814
0.0001,53,17.0,2.756809750418044
0.0001,54,16.0,8.67179335547152
0.0001,55,17.4,5.953150426454887
0.0001,56,21.0,8.390470785361213
0.0001,57,30.8,14.79729705047513
0.0001,58,21.0,6.0332412515993425
0.0001,59,20.0,9.899494936611665
0.0001,60,16.8,5.706137047074843
0.0001,61,26.4,14.164744967700619
0.0001,62,14.0,4.604345773288535
0.0001,63,24.0,6.356099432828281
0.0001,64,22.4,12.515590277729613
0.0001,65,21.8,6.273754856543249
0.0001,66,30.4,16.620469307453384
0.0001,67,19.0,4.147288270665544
0.0001,68,22.6,9.221713506718803
0.0001,69,22.8,9.108238029388561
0.0001,70,31.0,27.914154115788644
0.0001,71,18.0,2.8284271247461903
0.0001,72,15.6,6.740919818541087
0.0001,73,23.2,13.013838787997951
0.0001,74,17.4,7.227724399837061
0.0001,75,26.2,6.11228271597445
0.0001,76,14.6,4.963869458396342
0.0001,77,16.4,4.029888335921977
0.0001,78,18.8,10.225458424931373
0.0001,79,31.2,18.170305445974208
0.0001,80,28.2,7.520638270785265
0.0001,81,23.2,10.796295661012625
0.0001,82,13.6,3.7735924528226414
0.0001,83,17.0,8.12403840463596
0.0001,84,13.4,3.7735924528226414
0.0001,85,18.0,7.563068160475615
0.0001,86,27.2,16.460862674841803
0.0001,87,18.2,6.305553108173779
0.0001,88,19.8,7.833262411026456
0.0001,89,25.6,16.98940846527624
0.0001,90,27.4,10.892199043352083
0.0001,91,16.6,1.9595917942265426
0.0001,92,18.6,7.4993333037010705
0.0001,93,25.2,17.139428228502837
0.0001,94,16.2,3.1874754901018454
0.0001,95,17.6,5.1613951602255765
0.0001,96,14.0,3.1622776601683795
0.0001,97,20.0,8.366600265340756
0.0001,98,20.6,8.97997772825746
0.0001,99,18.2,5.344155686354955
0.0001,100,15.0,3.1622776601683795
0.0001,101,23.8,7.138627319029899
0.0001,102,25.6,11.038115781237304
0.0001,103,17.0,8.0
0.0001,104,20.2,7.138627319029899
0.0001,105,24.0,15.20526224699857
0.0001,106,19.2,6.11228271597445
0.0001,107,16.2,6.241794613730893
0.0001,108,17.6,8.685620300243386
0.0001,109,23.6,15.396103403134184
0.0001,110,27.4,13.836184445142381
0.0001,111,29.0,16.69730517179344
0.0001,112,14.4,4.17612260356422
0.0001,113,16.2,5.81033561853358
0.0001,114,22.0,10.373041983911952
0.0001,115,20.4,3.32264954516723
0.0001,116,21.2,8.749857141690942
0.0001,117,26.0,14.953260514014994
0.0001,118,19.6,5.0039984012787215
0.0001,119,20.8,14.715977711317723
0.0001,120,24.2,3.762977544445356
0.0001,121,21.8,8.44748483277715
0.0001,122,20.0,14.099645385611653
0.0001,123,30.4,10.131140113531153
0.0001,124,15.0,4.381780460041329
0.0001,125,24.6,12.483589227461787
0.0001,126,23.8,10.342146779078318
0.0001,127,20.4,6.651315659326356
0.0001,128,18.2,6.493073232299171
0.0001,129,29.4,13.778243719719867
0.0001,130,28.8,6.04648658313239
0.0001,131,16.2,3.4292856398964493
0.0001,132,18.2,3.762977544445356
0.0001,133,15.0,4.049691346263317
0.0001,134,18.4,5.535341001239218
0.0001,135,26.2,9.239047569960878
0.0001,136,21.2,8.471127433818948
0.0001,137,19.8,3.919183588453085
0.0001,138,24.8,11.05260150371848
0.0001,139,17.8,3.249615361854384
0.0001,140,32.4,16.06984754128053
0.0001,141,25.4,19.54072670091878
0.0001,142,17.8,6.241794613730894
0.0001,143,19.8,7.19444229944198
0.0001,144,27.8,16.82141492265142
0.0001,145,16.0,3.63318042491699
0.0001,146,27.8,9.826494797230598
0.0001,147,19.0,5.727128425310541
0.0001,148,15.8,2.481934729198171
0.0001,149,22.6,5.535341001239218
0.0001,150,17.2,3.762977544445356
0.0001,151,15.2,7.547184905645283
0.0001,152,26.8,19.873600579663467
0.0001,153,22.0,9.959919678390985
0.0001,154,17.4,3.0066592756745814
0.0001,155,18.6,6.529931086925803
0.0001,156,14.8,5.192301994298868
0.0001,157,14.6,3.32264954516723
0.0001,158,17.4,6.374950980203691
0.0001,159,16.0,3.40587727318528
0.0001,160,17.0,3.847076812334269
0.0001,161,12.6,1.3564659966250536
0.0001,162,17.6,6.529931086925803
0.0001,163,23.2,13.347658970770867
0.0001,164,22.0,8.508818954473059
0.0001,165,29.0,10.099504938362077
0.0001,166,15.4,5.276362383309167
0.0001,167,26.6,12.8
0.0001,168,23.4,12.059850745345068
0.0001,169,13.4,1.3564659966250536
0.0001,170,13.0,1.6733200530681511
0.0001,171,24.0,12.727922061357855
0.0001,172,17.2,5.74108003776293
0.0001,173,31.2,15.011995203836165
0.0001,174,15.8,3.1240998703626617
0.0001,175,15.4,7.657675887630659
0.0001,176,25.0,13.885243966167826
0.0001,177,14.6,4.31740662898458
0.0001,178,20.8,7.277362159464101
0.0001,179,16.0,5.176871642217914
0.0001,180,22.6,12.289833196589774
0.0001,181,21.4,7.002856560004639
0.0001,182,26.2,19.903768487399564
0.0001,183,29.8,16.485144827995903
0.0001,184,19.6,3.4409301068170506
0.0001,185,23.8,10.43839068055991
0.0001,186,18.0,3.847076812334269
0.0001,187,20.8,12.512393855693642
0.0001,188,16.8,8.255906976220118
0.0001,189,14.8,1.9390719429665317
0.0001,190,16.8,6.43117407632541
0.0001,191,18.6,5.238320341483518
0.0001,192,18.0,5.549774770204643
0.0001,193,23.0,10.353743284435827
0.0001,194,23.8,12.204917041913886
0.0001,195,14.6,3.6660605559646715
0.0001,196,27.8,15.011995203836166
0.0001,197,20.4,6.6211781428987395
0.0001,198,27.0,16.899704139422088
0.0001,199,14.6,2.33238075793812
0.0001,200,18.0,5.656854249492381
0.0001,201,14.4,2.33238075793812
0.0001,202,15.6,6.529931086925803
0.0001,203,18.6,5.4626001134990645
0.0001,204,15.2,3.1874754901018454
0.0001,205,23.6,11.46472851837321
0.0001,206,15.6,2.65329983228432
0.0001,207,19.2,9.495261976375375
0.0001,208,18.0,5.176871642217914
0.0001,209,12.8,1.4696938456699067
0.0001,210,23.6,14.82700239428051
0.0001,211,27.0,9.316651759081692
0.0001,212,16.6,7.863841300534999
0.0001,213,22.4,6.248199740725323
0.0001,214,16.0,4.9396356140913875
0.0001,215,17.6,7.2277243998370615
0.0001,216,23.2,7.025667228100119
0.0001,217,23.8,8.953211714239757
0.0001,218,17.0,4.9396356140913875
0.0001,219,16.8,5.268775948927796
0.0001,220,27.4,12.893409169028956
0.0001,221,14.6,2.65329983228432
0.0001,222,13.4,3.1368774282716245
0.0001,223,18.0,5.966573556070519
0.0001,224,22.0,7.720103626247513
0.0001,225,14.8,2.7856776554368237
0.0001,226,19.8,9.453041838477178
0.0001,227,29.6,18.99052395275075
0.0001,228,20.8,6.523802572120037
0.0001,229,23.8,4.791659420284375
0.0001,230,19.6,5.535341001239218
0.0001,231,14.0,4.242640687119285
0.0001,232,21.0,8.294576541331088
0.0001,233,23.0,7.536577472566709
0.0001,234,15.8,6.046486583132389
0.0001,235,25.2,8.657944328765344
0.0001,236,14.0,2.6076809620810595
0.0001,237,25.0,11.366617790706258
0.0001,238,19.2,6.939740629158989
0.0001,239,20.2,12.106196760337244
0.0001,240,19.4,6.8
0.0001,241,28.8,14.715977711317723
0.0001,242,12.8,2.481934729198171
0.0001,243,14.4,5.122499389946279
0.0001,244,19.0,2.0976176963403033
0.0001,245,16.8,7.332121111929343
0.0001,246,12.6,2.4979991993593593
0.0001,247,16.8,3.919183588453085
0.0001,248,15.6,6.280127387243033
0.0001,249,16.8,10.087616170334794
0.0001,250,14.2,2.0396078054371136
0.0001,251,20.0,8.17312669668102
0.0001,252,24.4,20.065891457894413
0.0001,253,17.6,3.7202150475476548
0.0001,254,18.6,10.209799214480176
0.0001,255,12.4,1.9595917942265424
0.0001,256,14.6,2.1540659228538015
0.0001,257,12.4,3.8262252939417984
0.0001,258,17.2,5.74108003776293
0.0001,259,15.8,11.106754701531855
0.0001,260,12.8,3.370459909270543
0.0001,261,15.4,5.351635264103861
0.0001,262,17.0,7.402702209328699
0.0001,263,18.0,6.663332499583072
0.0001,264,16.0,8.648699324175862
0.0001,265,14.6,7.863841300535
0.0001,266,17.6,6.974238309665077
0.0001,267,12.6,1.0198039027185568
0.0001,268,14.8,4.955804677345546
0.0001,269,12.4,2.8000000000000003
0.0001,270,13.4,3.0724582991474434
0.0001,271,19.2,4.308131845707603
0.0001,272,17.0,5.585696017507576
0.0001,273,30.6,8.039900496896713
0.0001,274,13.4,3.6110940170535573
0.0001,275,14.6,3.8262252939417984
0.0001,276,14.2,3.4871191548325386
0.0001,277,13.2,3.059411708155671
0.0001,278,15.0,5.477225575051661
0.0001,279,20.8,11.142710621747295
0.0001,280,12.6,3.7202150475476548
0.0001,281,14.8,6.013318551349164
0.0001,282,18.0,4.242640687119285
0.0001,283,15.2,4.707440918375928
0.0001,284,17.0,3.7416573867739413
0.0001,285,14.2,4.707440918375928
0.0001,286,17.8,3.7094473981982814
0.0001,287,15.0,4.1952353926806065
0.0001,288,22.0,5.932958789676531
0.0001,289,14.4,4.6303347611160905
0.0001,290,18.6,5.885575587824865
0.0001,291,15.0,3.03315017762062
0.0001,292,21.8,11.651609330903607
0.0001,293,13.8,1.9390719429665315
0.0001,294,14.8,3.54400902933387
0.0001,295,16.6,6.086049621881176
0.0001,296,16.6,3.261901286060018
0.0001,297,17.6,8.114185110040317
0.0001,298,20.8,10.759182125050213
0.0001,299,19.2,8.818163074019441
0.0001,300,11.8,3.059411708155671
0.0001,301,18.0,8.67179335547152
0.0001,302,21.2,7.678541528180987
0.0001,303,13.2,4.534313619501853
0.0001,304,17.4,7.088018058667741
0.0001,305,27.4,8.73155198117723
0.0001,306,23.2,7.756287771866127
0.0001,307,14.4,1.4966629547095764
0.0001,308,22.2,8.749857141690944
0.0001,309,16.6,2.0591260281974
0.0001,310,15.2,3.8678159211627436
0.0001,311,22.0,15.53061492665374
0.0001,312,17.6,6.887670143089026
0.0001,313,14.4,2.0591260281974
0.0001,314,27.4,9.645724441429994
0.0001,315,20.6,18.227451824103113
0.0001,316,14.4,2.5768197453450252
0.0001,317,15.2,1.9390719429665317
0.0001,318,15.8,4.791659420284375
0.0001,319,20.4,6.499230723708768
0.0001,320,25.0,11.40175425099138
0.0001,321,23.4,21.923503369671554
0.0001,322,15.0,1.7888543819998317
0.0001,323,11.6,1.3564659966250536
0.0001,324,18.2,7.025667228100119
0.0001,325,16.6,3.3823069050575527
0.0001,326,22.0,9.402127418834526
0.0001,327,16.6,4.363484845854286
0.0001,328,16.4,4.758150901348127
0.0001,329,21.4,4.079215610874228
0.0001,330,16.0,5.89915248150105
0.0001,331,25.0,10.564090116995406
0.0001,332,13.6,5.851495535331118
0.0001,333,14.4,5.571355310873647
0.0001,334,15.2,5.491812087098392
0.0001,335,19.6,9.243376006633074
0.0001,336,14.2,2.6381811916545836
0.0001,337,24.2,11.617228585166085
0.0001,338,12.4,1.624807680927192
0.0001,339,26.0,7.483314773547883
0.0001,340,19.4,14.402777509911065
0.0001,341,14.8,5.844655678480984
0.0001,342,17.2,6.43117407632541
0.0001,343,20.6,7.657675887630659
0.0001,344,22.0,13.311649033834989
0.0001,345,16.2,5.114684741017769
0.0001,346,25.0,17.26267650163207
0.0001,347,17.8,8.304215796810677
0.0001,348,15.0,4.1952353926806065
0.0001,349,16.4,5.607138307550474
0.0001,350,19.2,6.615134163416491
0.0001,351,18.0,9.879271228182775
0.0001,352,15.2,4.534313619501853
0.0001,353,15.4,4.029888335921977
0.0001,354,15.8,2.785677655436824
0.0001,355,15.8,2.7856776554368237
0.0001,356,13.8,3.4871191548325386
0.0001,357,19.6,8.499411744350311
0.0001,358,10.4,1.0198039027185568
0.0001,359,14.0,3.03315017762062
0.0001,360,19.4,9.58331884056875
0.0001,361,13.6,2.33238075793812
0.0001,362,20.0,5.019960159204453
0.0001,363,14.2,3.54400902933387
0.0001,364,19.8,6.3999999999999995
0.0001,365,22.4,13.215142829345433
0.0001,366,13.6,2.870540018881465
0.0001,367,16.8,5.075431016179809
0.0001,368,15.8,4.707440918375928
0.0001,369,15.2,4.445222154178573
0.0001,370,14.0,2.449489742783178
0.0001,371,13.0,1.6733200530681511
0.0001,372,19.8,8.328265125462805
0.0001,373,16.6,4.223742416388575
0.0001,374,16.6,7.002856560004639
0.0001,375,18.2,6.368673331236264
0.0001,376,16.2,7.4404300950953095
0.0001,377,18.6,3.4409301068170506
0.0001,378,21.8,8.034923770640267
0.0001,379,25.8,13.673331708109767
0.0001,380,18.0,5.932958789676531
0.0001,381,20.8,3.4871191548325386
0.0001,382,14.6,3.3823069050575527
0.0001,383,15.4,2.33238075793812
0.0001,384,13.8,1.9390719429665315
0.0001,385,18.6,6.468384651518491
0.0001,386,28.6,14.813507349712964
0.0001,387,15.8,6.764613810115105
0.0001,388,20.6,11.056219968868204
0.0001,389,17.2,5.775811631277461
0.0001,390,28.0,30.535225559998732
0.0001,391,18.6,9.28654941299512
0.0001,392,24.4,7.059745037889116
0.0001,393,16.8,5.035871324805668
0.0001,394,18.2,9.987992791347018
0.0001,395,16.4,4.673328578219168
0.0001,396,16.2,4.214261501141095
0.0001,397,10.2,1.6
0.0001,398,20.0,8.414273587185052
0.0001,399,19.2,4.445222154178573
0.0001,400,16.8,4.445222154178574
0.0001,401,25.2,5.775811631277461
0.0001,402,12.2,2.5612496949731396
0.0001,403,12.4,1.3564659966250536
0.0001,404,25.8,18.290981384277885
0.0001,405,26.6,20.771133815947554
0.0001,406,14.6,5.0039984012787215
0.0001,407,21.6,8.475848040166836
0.0001,408,10.8,1.1661903789690602
0.0001,409,20.2,14.756693396557374
0.0001,410,16.6,4.498888751680797
0.0001,411,17.6,7.989993742175272
0.0001,412,20.0,17.00588133558505
0.0001,413,21.2,10.88852607105296
0.0001,414,22.0,12.24744871391589
0.0001,415,17.0,2.6076809620810595
0.0001,416,17.6,13.078226179417452
0.0001,417,17.6,5.083306010855534
0.0001,418,20.0,8.294576541331088
0.0001,419,15.2,2.993325909419153
0.0001,420,18.8,7.782030583337489
0.0001,421,18.2,7.652450587883597
0.0001,422,18.8,6.305553108173779
0.0001,423,14.4,3.6110940170535577
0.0001,424,17.4,7.735631842325487
0.0001,425,13.0,2.449489742783178
0.0001,426,15.4,5.388877434122992
0.0001,427,23.8,9.410632284814874
0.0001,428,14.4,3.7202150475476548
0.0001,429,21.4,8.138795979750322
0.0001,430,13.8,2.5612496949731396
0.0001,431,15.2,1.9390719429665317
0.0001,432,17.0,5.477225575051661
0.0001,433,16.6,7.631513611335566
0.0001,434,20.8,13.347658970770867
0.0001,435,14.8,3.7094473981982814
0.0001,436,18.4,5.122499389946279
0.0001,437,13.6,4.498888751680797
0.0001,438,18.2,3.249615361854384
0.0001,439,13.0,2.0
0.0001,440,12.2,2.5612496949731396
0.0001,441,20.8,6.939740629158989
0.0001,442,15.0,4.049691346263317
0.0001,443,20.4,6.248199740725323
0.0001,444,18.4,5.535341001239218
0.0001,445,14.2,4.166533331199932
0.0001,446,23.6,8.16333265278342
0.0001,447,18.2,4.534313619501853
0.0001,448,21.2,9.10823802938856
0.0001,449,18.0,6.928203230275509
0.0001,450,21.0,11.366617790706258
0.0001,451,18.4,3.6110940170535577
0.0001,452,14.0,1.4142135623730951
0.0001,453,21.8,19.415457759218555
0.0001,454,18.0,6.260990336999411
0.0001,455,14.8,2.481934729198171
0.0001,456,15.2,2.7856776554368237
0.0001,457,17.4,3.97994974842648
0.0001,458,13.6,2.727636339397171
0.0001,459,20.6,11.18212859879549
0.0001,460,17.8,7.386474125047755
0.0001,461,17.2,10.02796090937734
0.0001,462,19.6,7.787168933572714
0.0001,463,11.0,0.6324555320336759
0.0001,464,16.8,6.368673331236264
0.0001,465,18.4,8.593020423576334
0.0001,466,27.6,8.212186067059125
0.0001,467,17.0,4.604345773288535
0.0001,468,15.4,4.317406628984581
0.0001,469,14.8,4.354308211415448
0.0001,470,18.2,7.93473376995095
0.0001,471,19.0,7.014271166700073
0.0001,472,20.4,8.404760555780278
0.0001,473,13.2,2.993325909419153
0.0001,474,20.2,6.554387843269576
0.0001,475,14.0,3.521363372331802
0.0001,476,25.4,26.310454196003533
0.0001,477,16.2,5.2687759489277965
0.0001,478,15.8,5.075431016179809
0.0001,479,11.0,1.2649110640673518
0.0001,480,12.0,2.280350850198276
0.0001,481,15.6,3.4985711369071804
0.0001,482,16.4,4.963869458396342
0.0001,483,18.6,4.63033476111609
0.0001,484,14.0,2.449489742783178
0.0001,485,23.6,7.709734106958553
0.0001,486,14.2,3.4292856398964493
0.0001,487,23.4,18.18350901228913
0.0001,488,24.2,18.82976367350371
0.0001,489,23.6,14.319217855735
0.0001,490,10.6,2.0591260281974
0.0001,491,13.4,2.244994432064365
0.0001,492,15.6,2.870540018881465
0.0001,493,14.8,4.48998886412873
0.0001,494,11.4,1.8547236990991407
0.0001,495,20.6,7.116178749862878
0.0001,496,13.4,3.8781438859330635
0.0001,497,12.0,2.449489742783178
0.0001,498,19.4,4.963869458396342
0.0001,499,13.2,3.655133376499413
0.0001,500,14.0,2.756809750418044
0.0001,501,16.4,7.49933330370107
0.0001,502,16.0,6.29285308902091
0.0001,503,14.0,3.5777087639996634
0.0001,504,15.0,4.242640687119285
0.0001,505,18.6,5.161395160225576
0.0001,506,15.4,4.363484845854286
0.0001,507,16.2,4.915282290977803
0.0001,508,17.4,9.308061022576076
0.0001,509,11.2,1.9390719429665317
0.0001,510,12.2,2.5612496949731396
0.0001,511,12.8,1.9390719429665317
0.0001,512,21.2,7.730459236035076
0.0001,513,13.0,1.6733200530681511
0.0001,514,19.0,6.899275324264136
0.0001,515,15.0,4.427188724235731
0.0001,516,13.6,3.9293765408777004
0.0001,517,16.0,5.830951894845301
0.0001,518,14.0,3.03315017762062
0.0001,519,15.4,4.6303347611160905
0.0001,520,15.4,3.49857113690718
0.0001,521,13.6,4.079215610874227
0.0001,522,14.4,4.223742416388575
0.0001,523,35.8,33.990586932267
0.0001,524,12.4,2.4166091947189146
0.0001,525,24.2,17.405746177627663
0.0001,526,15.4,5.607138307550474
0.0001,527,17.0,7.848566748139434
0.0001,528,20.0,10.825894882179487
0.0001,529,26.2,12.351518125315609
0.0001,530,15.0,5.176871642217914
0.0001,531,29.8,20.08382433701311
0.0001,532,15.4,4.882622246293481
0.0001,533,15.4,5.1613951602255765
0.0001,534,21.6,17.861690849412884
0.0001,535,23.0,16.06237840420901
0.0001,536,18.4,7.83836717690617
0.0001,537,16.8,5.775811631277461
0.0001,538,14.8,2.9257477676655586
0.0001,539,18.2,4.261455150532504
0.0001,540,15.6,6.086049621881176
0.0001,541,20.8,6.675327707311455
0.0001,542,51.4,74.37365124827474
0.0001,543,18.4,7.631513611335566
0.0001,544,19.6,12.354756169184402
0.0001,545,43.0,49.71518882595137
0.0001,546,14.6,5.462600113499065
0.0001,547,20.8,9.765244492586962
0.0001,548,22.0,9.444575162494075
0.0001,549,15.8,8.207313811473277
0.0001,550,24.4,16.19382598399773
0.0001,551,20.2,4.261455150532504
0.0001,552,15.0,3.9496835316262997
0.0001,553,34.0,41.54996991575325
0.0001,554,20.4,10.762899237658967
0.0001,555,21.0,11.610340218959994
