Episode,Mean Total Reward,Std Dev,Smoothed Mean Return
1,30.0,27.077666073722085,30.0
2,25.2,9.947864092356712,27.6
3,31.8,15.197368193210297,29.0
4,16.0,3.03315017762062,25.75
5,23.4,7.605261336732618,25.28
6,22.4,10.762899237658969,24.8
7,24.6,5.314132102234569,24.771428571428572
8,23.4,17.32743489383238,24.6
9,21.2,3.4292856398964493,24.22222222222222
10,22.8,6.9397406291589885,24.080000000000002
11,12.6,4.127953488110059,23.036363636363635
12,15.6,3.006659275674582,22.416666666666668
13,29.6,9.58331884056875,22.96923076923077
14,32.4,22.07804339156892,23.642857142857142
15,17.6,7.657675887630659,23.240000000000002
16,20.2,2.315167380558045,23.05
17,19.2,5.344155686354955,22.823529411764707
18,23.2,12.319090875547595,22.844444444444445
19,23.4,12.483589227461788,22.873684210526317
20,16.2,4.1182520563948,22.54
21,12.2,4.019950248448357,21.65
22,22.0,10.198039027185569,21.490000000000002
23,20.8,2.0396078054371136,20.94
24,20.0,4.427188724235731,21.14
25,23.4,6.590902821313633,21.14
26,17.0,6.6332495807108,20.869999999999997
27,23.8,8.704022058795578,20.830000000000002
28,27.8,13.585286158193357,21.05
29,29.4,9.54148835350125,21.46
30,25.8,18.540765895722867,21.61
31,22.2,5.075431016179809,22.09
32,28.4,8.499411744350311,22.73
33,24.2,6.554387843269576,22.46
34,16.2,5.491812087098393,21.65
35,33.8,18.24719156473127,22.46
36,28.0,10.198039027185569,22.85
37,28.4,18.249383551232626,23.31
38,40.4,30.92959747555729,24.169999999999998
39,21.6,5.499090833947008,24.08
40,30.4,9.76933979345585,24.79
41,30.8,16.998823488700623,25.72
42,37.6,21.8961183774659,26.5
43,25.6,10.9288608738514,26.74
44,30.2,15.841717078650282,27.25
45,22.4,13.965672200076874,27.2
46,33.4,27.57245001808871,28.02
47,39.4,27.528893911670334,28.8
48,36.2,8.28009661779378,29.22
49,33.0,11.29601699715435,29.4
50,21.8,10.264501936285072,29.2
51,23.6,6.740919818541087,29.27
52,28.0,14.352700094407323,29.25
53,21.8,4.308131845707603,29.130000000000003
54,32.6,16.304600577751057,29.95
55,34.0,19.687559523719543,29.959999999999997
56,45.8,11.754148203932091,30.85
57,20.0,6.131883886702357,30.43
58,35.2,12.089665007765932,30.169999999999998
59,22.0,11.882760622010357,30.189999999999998
60,29.0,13.114877048604,30.119999999999997
61,50.4,17.385051049680584,31.1
62,56.8,35.84633872517527,32.06
63,37.0,18.286607121059937,32.63
64,47.4,24.848339984795764,33.489999999999995
65,28.6,12.955307792561317,33.8
66,32.8,17.71327186038762,33.769999999999996
67,24.0,4.732863826479693,33.0
68,21.0,3.40587727318528,32.239999999999995
69,38.4,21.06751053162191,32.510000000000005
70,42.0,30.133038346638727,33.52
71,55.6,34.44764142869581,35.12
72,57.8,24.894979413528343,36.61
73,53.0,39.9899987496874,38.17
74,50.6,44.39639625014625,39.07000000000001
75,42.2,10.833282051160674,39.480000000000004
76,54.2,46.378443268397874,39.9
77,59.8,29.17121869240296,41.89
78,41.2,18.497567407634982,42.190000000000005
79,42.0,30.258882993263317,43.190000000000005
80,71.0,41.5066259770654,45.290000000000006
81,34.6,24.22065234464175,44.5
82,52.0,33.06357512429653,44.260000000000005
83,27.6,13.215142829345433,43.79
84,57.2,22.62211307548435,44.28
85,53.0,22.565460332109335,45.5
86,45.6,23.09632005320328,46.14
87,47.4,19.2,47.31
88,46.4,19.28315326911032,48.58
89,52.6,31.0135454277643,49.290000000000006
90,71.2,51.89759146627134,50.75
91,63.6,41.1271200061468,51.15
92,59.4,18.863721796082555,51.23
93,37.2,21.75683800555586,50.44
94,71.2,36.6736962958467,51.470000000000006
95,71.2,58.89448191469214,52.92
96,70.8,40.2710814356903,53.75
97,65.8,28.756912212544655,54.05
98,56.8,41.31053134492463,54.83
99,67.4,27.97570374449944,56.1
100,68.2,28.265880492211807,55.96
101,107.4,68.40058479282176,59.6
102,32.6,12.611106216347556,58.63000000000001
103,73.6,39.43399548612846,60.92999999999999
104,67.8,33.01151314314447,61.46
105,112.8,61.97225185516499,64.45
106,114.0,59.39696961966999,67.87
107,71.8,24.894979413528343,69.09
108,42.6,46.74868982121317,68.9
109,88.4,39.07224078549885,70.69000000000001
110,77.4,46.223803391759105,71.0
111,106.8,56.18327153165789,73.16
112,90.2,42.97161854061353,74.7
113,91.6,67.21487930510625,77.42
114,85.2,35.346286933707766,78.12
115,63.0,45.27692569068709,77.71000000000001
116,87.8,46.92717762661633,78.56
117,95.8,49.54351622563744,80.06
118,74.6,35.702100778525626,80.95
119,123.0,67.11482697586278,83.72999999999999
120,97.2,58.00137929394438,85.17999999999999
